"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P13645",5.85603757364561,3.28286207275526,16.6782042347407,4.42178933557907e-22,9.90480811169712e-20,38.9213847669872
"KRT1",6.5966391085227,3.56366728071721,16.157184270964,1.6960801850187e-21,1.89960980722095e-19,37.7012986381989
"KRT9",5.35807369134507,3.05443713763583,14.0444150396912,5.42811071599728e-19,3.32834367232793e-17,32.395438496149
"P63261",3.94043354668342,2.73660694264868,13.9347886684329,7.42933855430341e-19,3.32834367232793e-17,32.1037672272444
"P60709",3.94043354668342,2.73660694264868,13.9347886684329,7.42933855430341e-19,3.32834367232793e-17,32.1037672272444
"P02768",5.53809090716004,3.53014814150613,13.3467989956378,4.10281163274749e-18,1.5317163428924e-16,30.5108008370461
"TLN1",4.5820515335865,3.01286371076434,10.8718401522585,8.84454656327434e-15,2.83025490024779e-13,23.2669400035454
"KRT2",5.72540372984005,3.15887506003387,8.39908844168884,4.01047063827415e-11,1.12293177871676e-09,15.2002177742696
"eeF1A1P5",3.39104086008025,2.0344425061276,7.41623160602386,1.33489798310605e-09,3.32241275795284e-08,11.8207811385594
"P68104",3.39104086008025,1.96523511745077,7.36229045969867,1.62049397864053e-09,3.62990651215478e-08,11.6336955143513
"KRT14",4.64935715529074,2.68973372823354,7.02982701934254,5.36341949895536e-09,1.09218724342364e-07,10.4786045174254
"P13647",4.92852867913124,2.68452794778343,6.54335043553375,3.0974327400109e-08,5.78187444802034e-07,8.78636615440276
"KRT16",4.52882094543965,2.5364333186317,6.07403049690328,1.67377417144414e-07,2.88404164925759e-06,7.15942468131766
"PKM",2.19553036457644,1.62531181936248,5.55183147297886,1.07579450610252e-06,1.72127120976403e-05,5.36819318246342
"Q04695",3.77834251977915,2.19354047619982,5.46438672646476,1.4651150021303e-06,2.18790506984791e-05,5.07128678001573
"P19823",2.39177017240076,1.95199204990044,5.27959514549986,2.8049106839552e-06,3.92687495753728e-05,4.44756461352176
"KRT6A",4.57403512032762,2.67428440972459,5.04386384271608,6.37466174770318e-06,8.39955430285595e-05,3.66036879248879
"P07996",2.92225700561114,2.092374929761,4.92436292993337,9.62923648653611e-06,0.000119830498499116,3.26548159896116
"KRT79",-3.69812814562509,2.44652612012048,-4.88898315460387,1.08742381396344e-05,0.000128201544383058,3.14916198192629
"HBA1",2.44550843079595,1.88969620876951,4.8316624454111,1.32349381377555e-05,0.000148231307142862,2.96130905651776
"KRT13",2.69278999813445,1.73143413968201,4.73816284723032,1.8207683188538e-05,0.000194215287344405,2.6565584942273
"F10",-2.18879815724962,1.7889148002428,-4.67858987611085,2.22886973166681e-05,0.000226939463587893,2.46351793008038
"P08727",3.12953555668647,1.50896968556269,4.65622845648215,2.40415147396354e-05,0.000234143447899058,2.39129366546674
"KRT71",-3.00270273570613,2.0614298276594,-4.58657582593528,3.0411737873946e-05,0.000283842886823496,2.1671769202553
"KRT3",2.9292859973805,1.74723983828543,4.53835652284929,3.57609857915917e-05,0.000320418432692662,2.01280214353924
"P02788",1.9766451578074,1.45774634577412,4.4811833462001,4.33027515875542e-05,0.000373069859831236,1.83061522516975
"KRT6C",4.55260700595399,2.43459542956762,4.46480650138999,4.57354814659185e-05,0.000379435105495028,1.77860394773983
"APOA4",-2.93421425260445,2.23639630347994,-4.40910081298641,5.5051199211923e-05,0.000440409593695384,1.60228589260053
"TUBB1",1.36559867432024,1.59234073883428,4.30645713815934,7.72961633552947e-05,0.000597046227296069,1.27990375828679
"VTN",1.70015169562536,1.52379352816746,4.18782439072966,0.000113990919241324,0.000851132197001888,0.911560739332367
"P09429",2.32513589763947,1.37638461910149,4.12852632177073,0.000138199978098485,0.000998606293356792,0.729246509156332
"LUM",-1.89915401693723,3.07535703145988,-4.10430281878751,0.000149464070591564,0.00104624849414095,0.655128166064336
"KRT8",2.8773964405738,1.57238229373487,4.07213207298525,0.000165807448965556,0.00112548086570559,0.557020404394875
"KRT6B",4.52571940223513,2.49674812989069,4.04808772271694,0.000179139851923963,0.00118021549502846,0.483942107921519
"SeRPINF1",-1.42177032182419,4.47146455055078,-3.99666971266465,0.000211223264132164,0.00135182889044585,0.328389552258747
"P68366",1.5363079341219,2.08258765709156,3.93897859634513,0.00025384005808917,0.00157944925033261,0.155058387740969
"TPI1",-1.44291805804355,1.33011943252042,-3.88830530298024,0.000298027955209734,0.00180427735045893,0.00388606114263812
"O95678",3.28278231416484,1.65030993373948,3.8126074885075,0.000378123684836304,0.00222893961587716,-0.220013677761316
"H2A1",-1.94304123147616,1.27489937046138,-3.66629962388859,0.000595418348643137,0.00325301731941616,-0.645931031773043
"H2AJ",-1.94304123147616,1.27489937046138,-3.66629962388859,0.000595418348643137,0.00325301731941616,-0.645931031773043
"H2AC20",-1.94304123147616,1.27489937046138,-3.66629962388859,0.000595418348643137,0.00325301731941616,-0.645931031773043
"C4A",2.18618127664778,1.92122048006565,3.64333643860983,0.00063891968113795,0.00340757163273573,-0.711930146494636
"FN1",-3.20339893747067,3.70447587721651,-3.59818278920541,0.000733497528087353,0.00382101037887365,-0.841013680168506
"RBP4",-2.45512652721011,1.84808540045016,-3.44523670882553,0.00116352571443979,0.00581459336187168,-1.27119046619328
"Q5XKe5",2.26167933765243,1.57462061995481,3.443918927888,0.00116811027359029,0.00581459336187168,-1.27484812511799
"Q7RTS7",2.13247318324113,1.40459970723818,3.36181673603419,0.00149019334574512,0.0072565936836284,-1.50103543002539
"MDH1B",-2.70804232238832,1.47730045651038,-3.34436685914154,0.00156875188349009,0.00747660472131449,-1.54867246669234
"C9",-2.22202116739358,2.53409171363602,-3.31422460533425,0.00171377969173207,0.00799763856141631,-1.63059204467235
"P26583",1.83301238975167,1.35952732575011,3.27089997754503,0.00194462832366749,0.00880342784759796,-1.74751433493999
"APOC3",-1.93809830638256,1.35842095604172,-3.26730499932894,0.00196505085883883,0.00880342784759796,-1.75717216852425
"GSN",-1.3338131970937,4.75887842710271,-3.23244934770912,0.00217385327919478,0.00954790459881628,-1.85045687530136
"KRT77",2.38901298666613,1.39040619227983,3.19354151864347,0.00243161224494548,0.010474637362842,-1.95382014859651
"P04406",1.51674199567379,1.63629529099176,3.13986265994969,0.00283479496786029,0.0119810202415227,-2.09507535450018
"AGT",-1.56358674323844,5.26136865827236,-3.13155425976657,0.00290255558012645,0.0120402305545986,-2.11679719415787
"FGB",-1.99394841848649,2.88157124287961,-3.07894330164942,0.00336824720411737,0.0137179522494962,-2.25345151861778
"KRT76",2.51383578149523,1.71902759500493,3.04116427082147,0.00374493269495433,0.0148134428364289,-2.35061633391297
"YWHAZ",-1.42554725967026,1.70627317267171,-3.03882650683491,0.00376949215034129,0.0148134428364289,-2.35660209907133
"P68032",1.78506495170487,2.10659978605528,2.99620414424414,0.00424455038709851,0.0163927463225873,-2.46518231375331
"CKM",-1.41028927368517,1.43905061876519,-2.97053503331448,0.00455705303992978,0.0173013539143097,-2.5300641193694
"P01023",2.50406816267204,2.56133651287742,2.91265861925238,0.00534205541325333,0.0199436735428124,-2.67492543387834
"APOH",-1.31041531130354,3.55010419307759,-2.90164589531878,0.00550499465671957,0.0202150623459866,-2.70226302352877
"AMBP",-1.14475847831603,3.20142321680015,-2.88490283562382,0.00576158842810964,0.0208029765702852,-2.74368518292824
"SeRPINA1",-1.07549224105061,6.48107743762678,-2.87924130720459,0.00585083716039271,0.0208029765702852,-2.7576533282122
"DSP",2.38316025579478,1.57262262338927,2.83582232352284,0.00657916299936199,0.023027070497767,-2.86412646630196
"SeRPINA7",-1.66391946680065,3.56514370403678,-2.78079319326538,0.00762287581098062,0.026269602794764,-2.997397254273
"KRT73",-1.86531430366405,2.30143899068349,-2.73694734269761,0.00856170735020234,0.0290579158552322,-3.10222374835307
"HSPA1L",-1.7573621705978,1.53063619309499,-2.71957926208983,0.00896219474850309,0.0299631585621596,-3.1434093620154
"P01024",1.83164438324879,2.35144295118694,2.69528886160947,0.0095512417453868,0.0311615854878318,-3.20068549754215
"ACTB",-0.815884086064512,4.69839418045775,-2.68787478748361,0.00973799546494744,0.0311615854878318,-3.21809187681804
"ACTG1",-0.815884086064512,4.69839418045775,-2.68787478748361,0.00973799546494744,0.0311615854878318,-3.21809187681804
"KRT78",-1.68253116647521,1.39208057576647,-2.63350185552878,0.0112133438750264,0.0353773102536045,-3.34465219649284
"FGA",-1.30272423605466,3.07297260030194,-2.54329768569893,0.0141176502249569,0.0439215784776437,-3.55030041512252
"A1BG",-0.959534539242739,4.1781310077701,-2.53724940735142,0.0143349568327223,0.0439867168565726,-3.5638937182832
"APOD",-1.05078819491131,1.954804178567,-2.51574492894531,0.0151324147924224,0.0458062285608462,-3.6120228203533
"CSN1S1",-1.34572298571693,1.26152104314573,-2.48749894552277,0.016240971874021,0.0485063693304093,-3.67475948653072
"APOA1",-1.15071107076969,5.83793754773609,-2.454117909766,0.017645497016263,0.0520077806795119,-3.74819214146265
"CFD",-1.04957893863067,1.76934998426834,-2.43480383123595,0.0185073629096363,0.0538396011916694,-3.7903260842893
"APOe",-1.22565461403469,3.40336802544691,-2.35947418273937,0.0222428577942753,0.0638769249476625,-3.95214950143286
"SeRPINA3-2",-1.7183672268801,4.82604857429141,-2.34443222535506,0.0230650999644566,0.0653997771144087,-3.98397918828461
"ADIPOQ",-0.892247430366004,2.79383412952405,-2.31893098085053,0.0245213579808697,0.068659802346435,-4.03756957467868
