"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"eDIL3",-2.99865891694813,1.05310899536172,-5.89929095374167,3.17374239800731e-07,0.000123458579282485,6.51323616315621
"P68366",-2.04850788604805,1.95366699123422,-4.61955909714942,2.74098503835709e-05,0.0047492133208214,2.42860593920707
"P06733",-2.10462918402866,1.16215827316113,-4.4728057142861,4.48240738035976e-05,0.0047492133208214,1.97933093624783
"P68371",-2.62378996613226,1.62509992330438,-4.4470662592341,4.88350984146159e-05,0.0047492133208214,1.90110438500579
"TUBB",-2.76221099596536,1.55550919138058,-4.25131028744442,9.31639421425882e-05,0.00724815469869336,1.31222382629777
"TUBA1A",-3.04142684553,1.4003424540644,-4.03061087391697,0.000190380044463251,0.00979641710791614,0.662350913936945
"VTN",1.49054263725734,1.40921416454494,4.01581091855211,0.000199615491652953,0.00979641710791614,0.619349171361534
"P00558",-1.82065976885985,0.941550110779888,-4.01292105376387,0.000201468732296476,0.00979641710791614,0.610961438063984
"ANXA2",-1.90470669179389,1.17048389688045,-3.8441752141877,0.000343885868967275,0.0148635114475855,0.126373695633948
"P26038",-2.18436688223814,1.29594388763761,-3.74301114047608,0.000471531594366583,0.0154267499627769,-0.159006442129999
"P02787",3.41733806547981,0.998359047154502,3.74007758096869,0.000475840807158779,0.0154267499627769,-0.167221799719384
"P15311",-1.82136464251781,0.943878802764833,-3.74004460644202,0.000475889459005973,0.0154267499627769,-0.167314124442072
"P02647",2.67406373918678,1.00542398438452,3.70994538938052,0.000522349704081014,0.0156303103759626,-0.251405732933177
"P11142",-1.74309732443784,1.4286386572736,-3.67508694444363,0.000581600789059065,0.0161601933531412,-0.348333021701235
"IGKC",2.84806147445796,0.881565498792972,3.63094822083828,0.000665912318822873,0.0161963293758833,-0.470342975101468
"P02649",1.80107786359565,0.800040951030369,3.63082027879995,0.000666172930627589,0.0161963293758833,-0.470695449697161
"C4A",2.04526900455241,1.81106546131638,3.59534667692243,0.000742324426987585,0.0169861295351865,-0.568155435292195
"P00734",2.88556523159129,1.13249756310267,3.34306638530482,0.00157890713585145,0.034121937547012,-1.24514854214711
"TUBA1B",-1.77270367631149,1.83936878995559,-3.27050089422902,0.00195166121174669,0.0396694224080497,-1.43435447798722
"Q13509",-2.1285452039803,1.07733684802175,-3.2553145700393,0.00203955899270178,0.0396694224080497,-1.47362324043813
"P07900",-2.01404430449137,1.43066996680378,-3.22750135161541,0.00221032247626681,0.0404610520080707,-1.54524365907193
"HSP90AB1",-2.54465448234567,1.71077618304505,-3.20716110440108,0.00234365529714286,0.0404610520080707,-1.5973738367677
"P01023",2.81715873247077,2.44612252397125,3.20001136497804,0.00239229870484737,0.0404610520080707,-1.61564802380777
