"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P35443",3.13806460929257,0.314705057137273,9.60611307820145,1.48537173713904e-12,6.88773872117708e-10,18.2643094070206
"P07195",3.20605697675095,0.331726118496806,9.35496390143536,3.34828159467642e-12,6.88773872117708e-10,17.4986249353416
"RPL12",-2.85775055658884,0.361472331618091,-9.34312108588088,3.47973367029759e-12,6.88773872117708e-10,17.4623128811044
"P62851",-4.09261448024261,0.538293948984258,-9.27342745930824,4.36623690724379e-12,6.88773872117708e-10,17.2482491247432
"H2AC6",-2.67152320424642,0.321811550347599,-9.10051131202165,7.68571389231064e-12,9.6113414236427e-10,16.7144294350782
"H2AC4",-2.67152320424641,0.328575956505916,-9.00087188631284,1.0662343893106e-11,9.6113414236427e-10,16.4051047323094
"H2AC25",-2.67152320424641,0.328575956505916,-9.00087188631284,1.0662343893106e-11,9.6113414236427e-10,16.4051047323094
"P37802",3.45725865196331,0.354293361291635,8.50462753973505,5.5303981971997e-11,4.36210157804126e-09,14.8466754875456
"SLC2A1",1.98450812513563,0.273565477653511,8.21921097936878,1.44130835047133e-10,1.01051729905268e-08,13.9377594530378
"BLMH",-2.73987663809248,0.34131178630279,-8.14195206464765,1.87033765571455e-10,1.18018306075588e-08,13.6902736238691
"P62979",-3.4302542251614,0.649622135978336,-8.04339299362865,2.60980257362745e-10,1.38258275609723e-08,13.3737061149825
"UBB",-3.4302542251614,0.577739721944097,-8.01754973129061,2.84842723126212e-10,1.38258275609723e-08,13.2905451070387
"P0CG48",-3.4302542251614,0.577739721944097,-8.01754973129061,2.84842723126212e-10,1.38258275609723e-08,13.2905451070387
"P02675",3.23194695564675,0.361465457081215,7.85172950424824,4.99998233559167e-10,2.11451600895449e-08,12.7554970025991
"PARVB",2.34887587390878,0.408945657906606,7.81965949987606,5.57617291510282e-10,2.11451600895449e-08,12.6517369505742
"RPL30",-2.67576074531953,0.316838166991133,-7.81480751363329,5.66898880184995e-10,2.11451600895449e-08,12.6360310654565
"P63104",3.39260770324294,0.884129142970355,7.81336952464866,5.69679431889483e-10,2.11451600895449e-08,12.6313759096045
"Q7Z3Y7",-5.10133503660535,0.378250244393938,-7.71552349783618,7.95012457875383e-10,2.72096432758861e-08,12.3142175676932
"FLNA",5.6571956605789,1.75658537855711,7.70669601894688,8.19307800700216e-10,2.72096432758861e-08,12.285565734745
"P00742",2.92150611609894,0.369009306496356,7.68421109348089,8.84620706392882e-10,2.79097832866954e-08,12.2125571672392
"COL3A1",2.45915374694463,0.302753326489726,7.51071829095562,1.60055508704321e-09,4.80928695202032e-08,11.647930324151
"THeMIS",-3.66735995027479,0.314023317558594,-7.36492439747304,2.63812580037098e-09,7.56662445470039e-08,11.1718112825714
"O43505",1.99714984279704,0.29264576963563,7.19404926738583,4.74556138788892e-09,1.30193445032953e-07,10.6121234676453
"P11171",-2.37700763590764,0.343269224856955,-7.13823090929345,5.75060659854535e-09,1.51193031820088e-07,10.4289525175322
"P61981",2.33662671540428,0.3862453650712,7.11484449612921,6.23281367467294e-09,1.57316217148745e-07,10.3521633654289
"POTee",4.54397056948379,1.22222899345803,7.09354024657489,6.7073278776014e-09,1.62781688106403e-07,10.2821886731887
"O00299",2.25938951050761,0.309808546473659,6.99196259768426,9.51886406631233e-09,2.22459378734929e-07,9.94827992095444
"MYH14",3.13806460929257,0.505922711842503,6.95104373381481,1.09616037000541e-08,2.47027569097647e-07,9.81365350203419
"P46781",-3.29266932922238,0.294764093673969,-6.77471130819738,2.01475409590488e-08,4.38382701557234e-07,9.23287830994282
"LOXHD1",2.59886638311485,0.305129942147082,6.66858211864279,2.90711970681101e-08,6.11464178332582e-07,8.88295361599666
"P50395",2.33662671540428,0.305060164883725,6.64234479854806,3.1830338805126e-08,6.47901412452725e-07,8.79641522341985
"P29279",-2.24876070547608,0.375357173522509,-6.52830591848123,4.72091335051046e-08,9.30905101303781e-07,8.4201960855269
"P49747",3.08319179078952,0.476961206766378,6.48322294836588,5.51704542044694e-08,1.05492595766728e-06,8.27144521654887
"DCD",-2.55788682682317,0.409362076418307,-6.43265879632541,6.57074008480457e-08,1.2194520569152e-06,8.10460973801004
"TUBB",4.85501734993811,1.37916446976825,6.3781388658218,7.93330320786717e-08,1.43026123547548e-06,7.92473517428797
"THBS3",2.33662671540428,0.323629307052341,6.28391866480556,1.09864171484636e-07,1.92567478352237e-06,7.61395245980763
"CSTA",-2.37700763590764,0.381212035195322,-6.23156926846642,1.31641735894784e-07,2.24502527971915e-06,7.44134256511157
"P05089",-3.5598366720096,0.390389495787338,-6.1590074154471,1.69126540085298e-07,2.8083907051006e-06,7.20219227085348
"P61204",2.33662671540429,0.540338427439164,6.02687314963014,2.66806163874609e-07,4.31678690781739e-06,6.76712914009488
"P16070",1.73848061996552,0.292146950984891,5.99065915297821,3.02279680321119e-07,4.76846195706565e-06,6.64801207680475
"Q86UX7",3.04539622915476,0.290262389270065,5.93324639789316,3.68388740476398e-07,5.66959256684408e-06,6.4592939322637
"P51884",3.26500400617624,0.355631198281322,5.92113009163502,3.84083335353616e-07,5.77039487162218e-06,6.41948859148787
"CLeC11A",1.64291580108705,0.313556625083039,5.90699880735696,4.03230958106921e-07,5.91717987361552e-06,6.37307350490039
"P68366",3.07896918921958,1.76508982753113,5.76118866526621,6.65708098354577e-07,9.53391976305979e-06,5.89485246602866
"P34931",3.83254300053149,0.704760182144938,5.75503892026714,6.79915038570032e-07,9.53391976305979e-06,5.87471379838612
"LRP1",3.32922071015714,0.614868001325349,5.72062950600254,7.65151594244632e-07,1.04958838253992e-05,5.76208387264388
"RPS4X",-3.20432116006991,0.513292028294379,-5.70445830674062,8.08799947521452e-07,1.06333454323865e-05,5.70918267268089
"P35580",3.32461533578457,0.441271939685429,5.70443099436167,8.08875722273456e-07,1.06333454323865e-05,5.70909334221382
"P18065",2.55389529987663,0.31297054960441,5.67783130426945,8.86125665339028e-07,1.14111284658965e-05,5.62212185636708
"P26038",4.02468635434803,1.1333406550057,5.61648801847132,1.09335936445793e-06,1.3798195179459e-05,5.42177372027849
"MYH11",2.96002805738333,0.652544957969425,5.5103162409127,1.57185103377033e-06,1.94478039668446e-05,5.07581729720106
"CTSD",-2.55788682682317,0.404874234398911,-5.42600898685363,2.09545030133256e-06,2.54274834642471e-05,4.80191249995828
"Q9BUF5",3.77020304069842,0.589043054365598,5.3897040561406,2.37111950785608e-06,2.80663225635265e-05,4.68420270418018
"eDIL3",3.40245651511255,0.874239341804051,5.38556791003838,2.40472194136928e-06,2.80663225635265e-05,4.67080191564973
"AZGP1",-3.30972601900112,0.618569799322471,-5.38052241660554,2.4463514120348e-06,2.80663225635265e-05,4.65445763036618
"Q14533",-4.16151383744367,0.451527797045678,-5.16055662654695,5.1552642226156e-06,5.8088780794115e-05,3.9450582124165
"SeRPIND1",3.26500400617624,0.688028441939677,5.13112624289143,5.69331596805463e-06,6.21253505675249e-05,3.85065388573121
"P16402",-2.41692905439565,0.535435086540311,-5.13023680420724,5.71041257197535e-06,6.21253505675249e-05,3.84780284824473
"FLNB",2.71361091278717,0.413331594768217,5.10334423045635,6.2519819438022e-06,6.68644170599862e-05,3.76165770415069
"POSTN",3.7694885144659,0.858096457429997,5.09466912865645,6.43727576094145e-06,6.76986834192343e-05,3.73389260502714
"H2BC12L",-2.37034669637149,0.477914723900764,-5.07508871488174,6.87566669505328e-06,6.99765432996551e-05,3.67126810197215
"H2BC13",-2.37034669637149,0.477914723900764,-5.07508871488174,6.87566669505328e-06,6.99765432996551e-05,3.67126810197215
"Q13509",4.37422734581141,0.919595553811429,5.0247988777184,8.14127224590833e-06,8.06775039965852e-05,3.5107084385196
"P07900",3.46328539848926,1.26570801424459,5.02328196234322,8.18282132453479e-06,8.06775039965852e-05,3.50587188081813
"TUBA1B",3.46340642210032,1.66164867095912,4.98204597541874,9.3960037308051e-06,8.93588076754137e-05,3.37454369688601
"P68871",-3.5598366720096,0.444238308283867,-4.97375590289379,9.66050581402428e-06,8.93588076754137e-05,3.34817680041393
"O60814",-2.37034669637149,0.497880389597874,-4.95762907899862,1.01962506380821e-05,8.93588076754137e-05,3.29691929757953
"H2BC14",-2.37034669637149,0.497880389597874,-4.95762907899862,1.01962506380821e-05,8.93588076754137e-05,3.29691929757953
"H2BC9",-2.37034669637149,0.497880389597874,-4.95762907899862,1.01962506380821e-05,8.93588076754137e-05,3.29691929757953
"H2BC5",-2.37034669637149,0.497880389597874,-4.95762907899862,1.01962506380821e-05,8.93588076754137e-05,3.29691929757953
"H2BC15",-2.37034669637149,0.497880389597874,-4.95762907899862,1.01962506380821e-05,8.93588076754137e-05,3.29691929757953
"H2BC4",-2.37034669637149,0.497880389597874,-4.95762907899862,1.01962506380821e-05,8.93588076754137e-05,3.29691929757953
"KRT31",-4.56742606138988,0.616384676505695,-4.88193833088582,1.31284780589006e-05,0.000113480406235154,3.05696985288483
"Q9BQe3",5.33497013778216,0.969807632327124,4.83980865073353,1.51054641018671e-05,0.000128804700652407,2.92387731160751
"P62987",-2.35159620010804,0.600125432816278,-4.83062487243901,1.55738542226903e-05,0.000131028026860235,2.8949102739364
"KRT86",-4.16151383744367,0.501964950096177,-4.81501575934784,1.64029494721851e-05,0.000136187646275642,2.84571485256982
"CASP14",-2.85775055658884,0.43547856288609,-4.75064733085972,2.03053965932225e-05,0.000165337798666908,2.64336298717138
"P68371",3.30939376054412,1.45345865388749,4.74866027521935,2.04393709131824e-05,0.000165337798666908,2.63712995114189
"VCL",4.23439680607858,0.917727114954689,4.74483145535288,2.06999779630518e-05,0.000165337798666908,2.62512196578222
"Q9NY65",4.15319135289203,0.771076784687933,4.6782019619404,2.57945299476954e-05,0.000203454354962447,2.41665892767229
"P21291",-1.2234641623765,0.410715326481604,-4.57890313798214,3.57458652940618e-05,0.000278464703710531,2.10781800003326
"TLN2",3.68582723822604,0.966455129892931,4.5320115759872,4.16703952267573e-05,0.000320658773025413,1.96277830640308
"SeRPINB12",-2.1934623190371,0.57571456833276,-4.40406987702594,6.31632458916024e-05,0.000480192869368688,1.56983696343371
"H2AC7",-1.59286517919306,0.298618059715194,-4.34410032820925,7.66582196872895e-05,0.000575849245508092,1.38713869829951
"P01042",2.89942996656444,0.328975594078848,4.26093210950365,0.000100124624300987,0.000743278093340266,1.13542702624606
"FLG2",-1.89348555331004,0.546101704521524,-4.14546820703227,0.000144628610036835,0.00106117038294469,0.789350924761301
"SeRPINB3",-3.34104201269186,0.783301319974117,-4.13733184141692,0.000148405155421358,0.00107636382840089,0.76511860629746
"MYH9",3.25854404912816,1.83979858127324,4.11621341499659,0.000158660193643432,0.00113439136928767,0.702319869969124
"LYZ",-2.0162408301151,0.618327282928133,-4.11355025266868,0.00016000131833059,0.00113439136928767,0.694410645422828
"RPL22",-1.33941491091842,0.348742198865514,-4.10800249346368,0.000162830538969255,0.00114162300099555,0.677941857180625
"Q8N1N4",-3.36215676044953,0.896992418578169,-4.07175718523114,0.000182547168360289,0.00126579410148728,0.570590492632775
"PIP",-1.58502482831737,0.463104733121213,-3.84016615265101,0.000375387432833789,0.00257466815345784,-0.104781883511256
"KRT4",-2.44057419675002,0.841445248595557,-3.80764673097714,0.000414811327145159,0.00281447255299565,-0.198071237074118
"C5",3.16855996256096,0.771532167322534,3.74680932760552,0.00049954330003151,0.00335331725872216,-0.371514978604134
"TUBB1",1.7473871935001,1.29215683445709,3.68733438725735,0.000598343256600857,0.00397425889384359,-0.539674418259625
"P16403",-2.02678750833657,0.413501804493008,-3.64876419645496,0.000672182793532118,0.00437265301771924,-0.647967622122333
