"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ALB",-8.80711826352332,7.83356785233269,-38.607388237134,1.28177878885763e-36,8.08802415769164e-34,64.6285053770132
"P13645",7.70554077513975,2.97643993189695,21.2710246976188,2.1539030780999e-25,6.79556421140518e-23,45.3660797507174
"AHSG",-7.19586292316227,6.27250171719331,-20.6668692700217,7.14447971541124e-25,1.13316780597284e-22,44.3473730581555
"A2M",-7.94450836906396,6.85398639709391,-20.6641699909909,7.1833141424586e-25,1.13316780597284e-22,44.3427478343896
"KRT1",8.72336271967151,3.24960602826261,20.1802008886133,1.91648214794424e-24,2.41860047070563e-22,43.5026049063501
"TF",-7.29047660802228,6.43319179890424,-19.8859641459549,3.51266811663175e-24,3.6941559693244e-22,42.9810905954875
"P63261",5.87555810112165,2.45979019689723,19.6127138817335,6.20576712634864e-24,4.89479882090749e-22,42.4893377914985
"P60709",5.87555810112165,2.45979019689723,19.6127138817335,6.20576712634864e-24,4.89479882090749e-22,42.4893377914985
"SeRPINA1",-7.04719030306664,6.29018619540095,-19.506849446378,7.74970867133298e-24,5.43340685734568e-22,42.2968673127883
"AFP",-6.38828663403796,5.63990601640145,-17.7199316244559,3.82779795976148e-22,2.4153405126095e-20,38.875764667698
"KRT9",7.01935528112068,2.75795260815414,17.0716355724685,1.69636811925751e-21,9.73098439319536e-20,37.5497181391034
"P02768",7.31457504283006,3.23301415862248,16.8574122151997,2.79998552764685e-21,1.47232572328763e-19,37.1010507854029
"C3",-7.36000976125814,6.60985039740058,-16.7546658434626,3.56660931063527e-21,1.73117728846989e-19,36.8839748195184
"GC",-5.75260599930189,4.99867536177431,-16.2581004849769,1.16643254418507e-20,5.2572781098627e-19,35.817356832916
"eRC1",3.42373262234052,0.453126800778874,15.9706309456381,2.34377353659743e-20,9.85947401061985e-19,35.1863830298383
"ACTB",-5.04745959060783,4.58489953713887,-15.2554018533936,1.3829527911584e-19,5.13319536012324e-18,33.57232858149
"ACTG1",-5.04745959060783,4.58489953713887,-15.2554018533936,1.3829527911584e-19,5.13319536012324e-18,33.57232858149
"HBBF",-5.62222582640977,5.04709494072043,-15.1529989486516,1.79141090153695e-19,6.27989043816564e-18,33.3359715331886
"GSN",-5.68210989550626,4.6420356331314,-14.4551555334092,1.07876302007977e-18,3.58262876668598e-17,31.6892012275445
"APOA1",-6.76557821237581,5.65700133956763,-14.1838583078464,2.20143508274671e-18,6.94552768606586e-17,31.0317032492498
"TLN1",6.61599270945913,2.71389669310979,13.7370022678945,7.26546313596457e-18,2.18309868513983e-16,29.9271529617739
"eeF1A1P5",5.27067187274025,1.86671378928113,13.2093446893827,3.07029581390895e-17,8.80616662989341e-16,28.5876804474446
"ITIH4",-6.15334181155936,5.50207756163405,-12.7073572018605,1.24910639584073e-16,3.42689624250217e-15,27.2773392560771
"SeRPINF1",-4.94338968471828,4.38231994384435,-12.6552413224452,1.44763427479573e-16,3.80607178081711e-15,27.1392643654127
"SeRPINA5",-5.4037966659292,4.39741935957571,-12.3440454202994,3.51798579603239e-16,8.87939614918576e-15,26.3067538052509
"FeTUB",-5.43414239282959,4.53036562922424,-12.2619209781153,4.45613648770448e-16,1.0814700475929e-14,26.0847520893224
"A1BG",-4.8566785542178,4.15117798268516,-12.2000403744849,5.3279957158633e-16,1.24517233211472e-14,25.9168371667004
"AGT",-5.54000470682443,5.10974841269168,-12.108697611438,6.94237850908397e-16,1.56451458543999e-14,25.6679739169554
"HBG1",3.06990226999616,0.477156268145192,11.8206030094798,1.61100782004251e-15,3.38848644815609e-14,24.8752206780141
"HBG2",3.06990226999616,0.477156268145192,11.8206030094798,1.61100782004251e-15,3.38848644815609e-14,24.8752206780141
"HBA",-4.87912473079295,4.52126570357216,-11.6185358764476,2.92613930647109e-15,5.95610936252663e-14,24.3120746239521
"P68366",5.66132462954001,1.76508982753113,11.5466167047775,3.623273569129e-15,7.14464256912625e-14,24.1102244624584
"KNG1",-5.88055788128024,4.54464354662345,-11.2394372096511,9.09420659274164e-15,1.73892253333939e-13,23.2397174480957
"P23526",3.88357520522337,0.434848844648397,11.0596420614177,1.56729571267098e-14,2.90871645498644e-13,22.7239187223637
"P35625",2.00319000472056,0.334972889619899,10.8282047919319,3.17760824120522e-14,5.72877371485855e-13,22.0531652822559
"C4",-5.25607976090827,4.59241938916497,-10.7476212156336,4.0707902768723e-14,7.13519073529561e-13,21.8178271018528
"P35443",3.21184642053597,0.314705057137273,10.7169331183741,4.47447623648742e-14,7.63079596006368e-13,21.7279625688668
"QSOX1",2.95445585781011,0.805070645396471,10.4473459110739,1.03209787442513e-13,1.71382568095332e-12,20.9328087400772
"P19823",4.69414845499681,1.72378064659439,10.4154559684274,1.14005021548186e-13,1.84454278453604e-12,20.8380728926618
"P68104",5.30937396649561,1.79940580014137,10.3213651442216,1.53010027660436e-13,2.41373318634338e-12,20.5577283547667
"KRT2",7.69160912807066,2.86031237617989,10.1300802827228,2.79266471749147e-13,4.29797911399297e-12,19.9840043800981
"TUBB1",4.34401585070552,1.29215683445709,9.99182254771356,4.32630251796338e-13,6.49975449722594e-12,19.5661921418527
"HPX",-5.17013582081818,4.43467162277725,-9.95687400707446,4.83428600263036e-13,7.09403364572036e-12,19.4601656944449
"ORM1",-4.94992529028988,3.86425014046426,-9.92358120744787,5.37432976842362e-13,7.70727746335297e-12,19.3590084015584
"SLC2A1",2.18739123616248,0.273565477653511,9.87492148027347,6.27554057692365e-13,8.79970245341961e-12,19.2108905997076
"eHD3",3.59539769817568,0.929085257842862,9.82048833742095,7.46647081905154e-13,1.02420501887424e-11,19.0448211919427
"SeRPINF2",-4.81053296935961,4.3277909011828,-9.73603123921099,9.78394238018478e-13,1.31354630678651e-11,18.7863673287898
"P35900",3.68994119546275,0.909107359925009,9.72860214081292,1.00197890243209e-12,1.31718476548885e-11,18.7635875059973
"SeRPINA3-7",-4.54068958972658,4.02428387310896,-9.64563885222391,1.30790913825349e-12,1.68426666579174e-11,18.5087011023153
"KRT14",6.03016996988674,2.44276934440136,9.57566098020348,1.63856190628353e-12,2.06786512572981e-11,18.2930053196028
"VTN",3.55907534183946,1.30500717022259,9.53404525527156,1.8741102761804e-12,2.31875212601928e-11,18.164428068272
"P62826",3.03754759740565,0.748294253470853,9.44330539655577,2.51357781307923e-12,3.05013000010191e-11,17.8832972947601
"PIP",3.56688306641207,0.463104733121213,9.41960635575238,2.71431756057485e-12,3.23157430325043e-11,17.8096982407233
"PKM",3.94129943933821,1.39826985526521,9.27025348832275,4.41165679837842e-12,5.15510266625331e-11,17.3442286328778
"TTR",-4.33875661265665,3.61322770476154,-9.24801924091004,4.74351196173607e-12,5.44210190519175e-11,17.2746935458362
"CFH",-6.09154652961229,4.64711187182647,-9.2058516485469,5.44382515294597e-12,6.13402441340877e-11,17.1426499305562
"KRT13",5.02966353423172,1.5651524960697,9.14851235842483,6.56698312877880e-12,7.26976553378847e-11,16.9627443581715
"P11142",4.97824075466826,1.29353643577238,9.07423819533071,8.37770682207117e-12,9.11436724952916e-11,16.7291050983417
"P16070",2.40757580749655,0.292146950984891,9.04304440962126,9.2815724878514e-12,9.92656311836311e-11,16.6307810433766
"APOH",-4.74953750650438,3.60746490795528,-8.99983827003643,1.06986743679975e-11,1.1251439210344e-10,16.4944000535814
"PLG",-6.51946640553395,5.08341324061474,-8.94374978503903,1.28697372235603e-11,1.33127937509288e-10,16.3170231829743
"PARVB",2.43913895025125,0.408945657906606,8.85103897086184,1.74793309713812e-11,1.77894481337767e-10,16.0230169003285
"P23528",2.93415852142286,0.716620014092231,8.66660711564687,3.22246740364615e-11,3.22758243127098e-10,15.4352011110652
"P07195",2.71934562166015,0.331726118496806,8.64898660936149,3.41703811621678e-11,3.36898601770748e-10,15.3788412581775
"TUBA1B",5.51143164496816,1.66164867095912,8.64168903914313,3.5010530145654e-11,3.39871454183195e-10,15.3554896507804
"P61224",3.24280700405996,0.922756113454085,8.62937361232292,3.64759268912859e-11,3.48731967703051e-10,15.3160680144451
"P13647",6.44338541522687,2.44539382196407,8.62181075718861,3.74063425659433e-11,3.52289584464331e-10,15.2918510767841
"KRT16",5.81927105775112,2.30697925096178,8.59855943229287,4.04195650512246e-11,3.75069787460628e-10,15.2173590135207
"FLNA",5.78098061013493,1.75658537855711,8.58417333316122,4.24054028612349e-11,3.87794336310714e-10,15.1712396196166
"KRT5",-6.00472812360338,4.67624021226336,-8.55405130822015,4.68882235799107e-11,4.22663843984623e-10,15.074600826423
"P07737",2.1878122879341,0.41744026887899,8.36966473991487,8.69068031736491e-11,7.68496125222501e-10,14.4809457060882
"Q04695",5.69222996007947,2.00730714342483,8.36699470893185,8.76889398035183e-11,7.68496125222501e-10,14.4723232959996
"P63104",3.23732203787066,0.884129142970355,8.12681849411612,1.96839887781198e-10,1.70145163273885e-09,13.693829408143
"P68371",5.16113940397937,1.45345865388749,8.07231652549122,2.36651867541816e-10,2.01793687052549e-09,13.5164040565817
"P06733",4.44618998139937,1.00307738353785,8.03787182859904,2.65903117171382e-10,2.23713155913523e-09,13.4041333445186
"P49747",3.48017793335073,0.476961206766378,7.97667322070123,3.27155915740828e-10,2.71625503726925e-09,13.2043986728622
"HBA1",5.11999202093202,1.70191375070829,7.94868521869044,3.59726949123996e-10,2.94789227139275e-09,13.1129446971976
"LIMS1",2.6280441868889,0.626390033840329,7.94371252344963,3.65846718709476e-10,2.95960614750871e-09,13.0966887891671
"P07996",5.63839204165454,1.8511055360765,7.92854809665752,3.85164224497981e-10,3.07643829947122e-09,13.0471027154173
"KRT3",4.86687262083175,1.58048859238809,7.91342416276519,4.05453374993059e-10,3.19801349525775e-09,12.9976295844589
"P02788",3.70818537337191,1.24423163318215,7.90017752141436,4.24106469475166e-10,3.30384175603493e-09,12.9542815660853
"eDIL3",4.56126487935821,0.874239341804051,7.86962707127902,4.70487743578169e-10,3.6204605633881e-09,12.8542530769578
"COL6A1",3.1527715041279,0.906037327762269,7.85044020592907,5.02194700889188e-10,3.81788983447082e-09,12.7913919079182
"MFGe8",2.51012143994395,0.28800563179801,7.80725054071658,5.81665645466794e-10,4.36941693201842e-09,12.6497819279259
"P15311",3.87638596762784,0.776083929513556,7.76044747447917,6.82151022251804e-10,5.06396817695162e-09,12.4961568090336
"P07900",4.88385607631541,1.26570801424459,7.72132917500124,7.79430240257554e-10,5.71884280933159e-09,12.3676256033354
"SeRPINC1",-5.55181632048571,4.95379030804966,-7.71677124588794,7.91637319814968e-10,5.74164538854304e-09,12.352642011513
"TUBB",5.32544891950305,1.37916446976825,7.62586905758313,1.07958675024981e-09,7.74112772054123e-09,12.0534920014163
"P62937",2.94719948834478,0.554483106393435,7.59154564344016,1.2139288495439e-09,8.60661914676629e-09,11.9403826332996
"P04406",4.48682844120105,1.46040235764334,7.55297423661511,1.38507292182352e-09,9.71090015189602e-09,11.8131772556223
"SeRPINA3-2",-4.94903936229467,4.68780865363659,-7.52990814865646,1.49880777279328e-09,1.03928319190392e-08,11.737059195826
"O00299",2.22052074106119,0.309808546473659,7.49018869197481,1.71710810039976e-09,1.17771218625244e-08,11.6059031041424
"ADIPOQ",-3.93824897593986,2.93752513994763,-7.45466615416911,1.93929913455097e-09,1.3158040364534e-08,11.488520008549
"H2AC6",1.98037423210684,0.321811550347599,7.35332982304428,2.74522066273875e-09,1.83387981443004e-08,11.1532359896784
"FHL1",2.98080102008267,0.658231571395055,7.35166085828065,2.76099179668548e-09,1.83387981443004e-08,11.1477090079053
"P21291",1.80037221248901,0.410715326481604,7.34450348820137,2.82966516006666e-09,1.85991532916882e-08,11.1240047257578
"F12AI",-5.14601804645872,4.11224061514221,-7.32905302538152,2.98381592712021e-09,1.9410184020751e-08,11.072825077839
"P61981",2.20172776296096,0.3862453650712,7.30751355355605,3.21289776338174e-09,2.06871274356518e-08,11.0014537661642
"P05452",3.29161776745028,0.63467875107243,7.29316551627387,3.3752187567223e-09,2.15127579342603e-08,10.953897515308
"H4C1",3.38659821280796,0.852768548672937,7.28420365343344,3.48075869016141e-09,2.19635873349185e-08,10.9241880935061
"P01024",5.5652608952669,2.16965196404416,7.28075765128371,3.52221741263453e-09,2.20051404690336e-08,10.9127631509986
"THBS1",-4.53877540826381,3.82406536567389,-7.26000499453085,3.78259113572224e-09,2.30663331472294e-08,10.843946401253
"H2AC4",1.9764846985658,0.328575956505916,7.25853578280598,3.80174112093797e-09,2.30663331472294e-08,10.8390735925628
"H2AC25",1.9764846985658,0.328575956505916,7.25853578280598,3.80174112093797e-09,2.30663331472294e-08,10.8390735925628
"F2",-5.30356403417292,4.46967325870573,-7.22936523356195,4.20277094433934e-09,2.52566520559821e-08,10.7423037023114
"AMBP",-4.1780869902108,3.34141423414827,-7.13483963685395,5.81813948777597e-09,3.46343963847796e-08,10.4284475791414
"P02771",3.57023488234415,1.20445681963199,7.12263736518442,6.0677840375355e-09,3.57829133428496e-08,10.3879028303726
"SYNCRIP",3.90732993017792,0.978798074633221,7.11173410351494,6.29993334758559e-09,3.68079439104306e-08,10.3516689961115
"P62851",2.85234831925767,0.538293948984258,7.04485303713565,7.93233942768275e-09,4.59202401730993e-08,10.1293040270585
"KRT6A",6.32960958148314,2.4219735959836,7.03835202019404,8.11207259072227e-09,4.65337982249614e-08,10.1076803622663
"KRT75",-5.00328049384664,3.74408656908985,-6.95085798604292,1.09686294666988e-08,6.2353199941324e-08,9.81651403527955
"O43505",1.76807287865454,0.29264576963563,6.94213181550579,1.13038288599853e-08,6.36849643808101e-08,9.78746100229974
"KNG2",-5.39329631443328,4.12277039415999,-6.92720050732686,1.19013822162214e-08,6.64581608711126e-08,9.7377431786986
"P00742",2.40971680991241,0.369009306496356,6.90857426439369,1.26913964907129e-08,7.02479928564899e-08,9.67571296700532
"P61204",2.45239814372255,0.540338427439164,6.89483103515458,1.33078170397557e-08,7.30194134963986e-08,9.62993822190671
"P29279",2.17801845498234,0.375357173522509,6.89205516594138,1.34359190878525e-08,7.30867667623701e-08,9.6206919761792
"FLG2",2.87145398000031,0.546101704521524,6.85241077463628,1.54062628937223e-08,8.30884776575965e-08,9.48861725900388
"P50395",2.20224289641272,0.305060164883725,6.8238148056682,1.70049519620359e-08,9.09332600681751e-08,9.3933266350699
"P36955",4.11296280594915,0.746790949493321,6.80963556942075,1.78582732569821e-08,9.46938691189554e-08,9.34607031039087
"P34931",4.14937534563154,0.704760182144938,6.79162795184889,1.90041106380076e-08,9.99299484381899e-08,9.28604883105822
"P0DMV8",4.85521400204905,0.839672292936283,6.77401400534124,2.01961243352475e-08,1.04457003733944e-07,9.22733340690406
