"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P63261",5.07807852126273,2.45979019689723,19.0459953037928,2.0615725170525e-23,6.50426129130064e-21,41.9537405868642
"P60709",5.07807852126273,2.45979019689723,19.0459953037928,2.0615725170525e-23,6.50426129130064e-21,41.9537405868642
"P13645",5.67190880788484,2.97643993189695,17.5926078464622,5.11125113662508e-22,1.07506648907014e-19,39.0445906884844
"P02768",6.35911556043394,3.23301415862248,16.466989840039,7.06358032603266e-21,1.11427979643165e-18,36.6342428960456
"KRT1",6.05956198061887,3.24960602826261,15.750649952825,4.02184481171437e-20,5.07556815238353e-18,35.0239388062608
"KRT9",5.3961704177577,2.75795260815414,14.7461706992687,5.06756359220832e-19,5.32938771113909e-17,32.66029569021
"TLN1",5.66857917441688,2.71389669310979,13.2247314668065,2.94250236456778e-17,2.65245570291753e-15,28.8319275531901
"P68366",3.91684635911152,1.76508982753113,8.97612559160973,1.15673788702716e-11,9.12377008392673e-10,16.4568089291377
"eeF1A1P5",2.98770348443435,1.86671378928113,8.41334077570415,7.50664795189399e-11,5.26299428627234e-09,14.6412434409034
"KRT14",4.62499946144361,2.44276934440136,8.25214001480438,1.29001545142375e-10,8.13999749848388e-09,14.1151367226472
"KRT2",5.55171146318915,2.86031237617989,8.21558060728814,1.45904695042876e-10,8.36962387018678e-09,13.995472289445
"FLNA",4.64702101815002,1.75658537855711,7.75331262721592,6.9893509377764e-10,3.67523370144742e-08,12.4723150501157
"P19823",3.09863186280059,1.72378064659439,7.72515394571732,7.69332956792432e-10,3.73422381335404e-08,12.3789798158163
"TUBB1",2.87402467295746,1.29215683445709,7.42778794720998,2.12644015573904e-09,9.58416955908098e-08,11.3900378322023
"KRT16",4.07070260923703,2.30697925096178,6.75837334841728,2.1317234137249e-08,8.48222576096549e-07,9.14780051837679
"P13647",4.49341287413401,2.44539382196407,6.75579394800715,2.15080209469806e-08,8.48222576096549e-07,9.1391355182351
"VTN",2.19750498943596,1.30500717022259,6.61432591560242,3.50668640523911e-08,1.25071112414419e-06,8.66380245693986
"TUBA1B",3.75152074209723,1.66164867095912,6.60932723199071,3.56779718456345e-08,1.25071112414419e-06,8.64700475117514
"P68104",2.98770348443435,1.79940580014137,6.52599916007391,4.75870753064262e-08,1.58039181675552e-06,8.36698832496376
"POTee",3.38032894827307,1.22222899345803,6.4629697233399,5.91713433438812e-08,1.86685588249945e-06,8.15520462421047
"P01024",4.2192735297113,2.16965196404416,6.20218078454779,1.45704526631017e-07,4.33315451727496e-06,7.27962218595029
"P07996",3.91882174890922,1.8511055360765,6.19169562253242,1.51076702662518e-07,4.33315451727496e-06,7.24445642525828
"PKM",2.27070438025719,1.39826985526521,6.00106691427044,2.91629015398494e-07,8.00077863984563e-06,6.60590178869314
"COL6A1",2.13845118286928,0.906037327762269,5.98296617330982,3.1040051379966e-07,8.16094684198272e-06,6.54536060963413
"P11142",2.88452665793375,1.29353643577238,5.90778292972657,4.02144006534966e-07,1.01501147249426e-05,6.29410065278394
"P68371",3.30420691676907,1.45345865388749,5.8067820078259,5.69193749027827e-07,1.381389444756e-05,5.95713789817492
"P07900",3.25576615332267,1.26570801424459,5.7835981201813,6.16391691726609e-07,1.440530212887e-05,5.87989515782413
"FBLN1",2.96223538947112,1.2055395696611,5.7596582482818,6.69215782640748e-07,1.50812556730826e-05,5.80017759041136
"P68032",4.21314873733711,1.87318986533482,5.74906453073926,6.94005515899609e-07,1.5100602776988e-05,5.76491612798503
"Q04695",3.46923809468077,2.00730714342483,5.72976562431699,7.4153560608909e-07,1.55969655814072e-05,5.70070289770915
"C4A",3.21306137636287,1.69571761681544,5.66453958320355,9.27430870665401e-07,1.88777057867699e-05,5.48391273823012
"P02788",2.31709554873489,1.24423163318215,5.54670476183801,1.38812258667238e-06,2.7372042255946e-05,5.09327859703135
"P63104",1.96052308466268,0.884129142970355,5.52996407962481,1.46983835021477e-06,2.81050908783491e-05,5.03789612256932
"P02771",2.42387291952997,1.20445681963199,5.43337380708793,2.0435322088738e-06,3.79255536411578e-05,4.7189593404768
"MYH9",3.44342063400468,1.83979858127324,5.32733484229662,2.93104731992123e-06,5.28425959677227e-05,4.37011793559177
"CKM",-3.36606614769915,1.31106230670835,-5.30704421902933,3.14004155262185e-06,5.5037950547344e-05,4.30353371142808
"TUBB",3.24809792123825,1.37916446976825,5.22610254863252,4.13096050481058e-06,7.0449623744202e-05,4.03849236892913
"KRT6A",4.13065771545955,2.4219735959836,5.16094182198425,5.1485661653955e-06,8.54932960622252e-05,3.82582463353833
"P01023",4.67449151469691,2.29391897658004,5.09990882098674,6.32472122514425e-06,0.000102330745976052,3.62723144641702
"P01008",3.47947113077101,1.58182119686144,5.07925529058353,6.7799770270499e-06,0.000106954137601712,3.56016550473742
"KRT13",2.36662582905517,1.5651524960697,4.83678562583152,1.5258092621819e-05,0.000234825766935799,2.77853762530362
"eHD3",1.5729843453825,0.929085257842862,4.82754401390747,1.5734162875485e-05,0.000236387066057882,2.74897055555372
"KRT3",2.50488419085228,1.58048859238809,4.57633501778959,3.60477955699185e-05,0.000528980441967874,1.95243127949366
"APOB",3.78326818049892,1.56865439369341,4.53125569330163,4.17733719125078e-05,0.000599068129018009,1.81106559489122
"LYSM",-2.05861085170021,1.03729602438514,-4.46135204904983,5.24554704333867e-05,0.000735542263188156,1.59288081106423
"APOA2",-2.17670317709726,2.08661494538222,-4.30741791789049,8.62597412335596e-05,0.00118325862431252,1.1170926634592
"KRT6C",4.0261732320682,2.16427141361773,4.276366733207,9.52959744539572e-05,0.00127939914639249,1.02194009853601
"P04406",2.22819732941457,1.46040235764334,4.21451769846557,0.00011612618618079,0.0015265754891683,0.833276083195885
