"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"SeRPINA3-3" -6.24171093816167 1.63432839743559 -25.1427569255659 1.20440270397505e-10 5.14279954597347e-08 13.7948704923458
"APCS" 2.77283344301881 2.1393585301351 9.78032199566761 1.44850541759091e-06 0.000216995401358199 5.83040336135611
"IGFBP6" -3.30988495980036 1.33893448199256 -9.72749339524542 1.52455785497563e-06 0.000216995401358199 5.78022143453398
"F7" 2.01929990333492 2.39568587803144 8.89629574035129 3.51858862031219e-06 0.000375609335218327 4.9542678063739
"CST3" -3.18049108990068 1.57751655785258 -7.53105201121927 1.60281152995087e-05 0.00136880104657805 3.43353552908428
"RNASe4" -2.6879671578069 1.5844410704628 -7.18019929411291 2.44443607052723e-05 0.00166419586370118 3.00604108507635
"THBS4" -2.60149944869782 2.53956007255448 -7.09081715573166 2.72818994049374e-05 0.00166419586370118 2.89456038075779
"YWHAB" 2.16279410413478 1.86596588662691 6.96792946938511 3.17782254844235e-05 0.00169616278523111 2.73954885188535
"LTF" 3.0900455856596 3.46662224499435 6.61304866851221 4.98878440975211e-05 0.00236690104773794 2.2803580874129
"HMGB2" 2.10708284063627 1.8914820562858 6.2522934669001 8.02131620049988e-05 0.00342510201761345 1.79552827348716
"FGG" 3.65335611717129 3.46014535346016 6.12753276329248 9.49085273075184e-05 0.00368417646911912 1.62352898479158
"FGA" 3.70578187988852 3.77516754425321 5.95954602283596 0.000119430769123958 0.00424974486799418 1.38837084923656
"TGM3" -2.34146516275659 1.12881896814017 -5.85572189378115 0.000137924124876466 0.00453027702478853 1.24097105964484
"MFAP4" 1.94969693795007 1.33666554632046 5.75044434403814 0.000159844892998527 0.00487526923645507 1.08989234799148
"NAP1L1" 2.92033236980545 2.10603889824491 5.64362422563015 0.000185943110158848 0.0052931805358552 0.934932309196289
"TUBB3" 2.89229021085497 2.97026572683777 5.29602171249202 0.000307568636714855 0.00820823799232769 0.419032122069914
"MYL6" 1.50526590756209 1.28414089301023 5.2055591493643 0.000351596597481388 0.00836117076131811 0.281856259623614
"HMGB1" 2.53041167861298 1.79747581974222 5.20390515180499 0.000352461530922075 0.00836117076131811 0.279337020785763
"H2A1" -2.47583572705666 1.75258522708785 -5.04751498229238 0.000445423011014436 0.0100102960896402 0.039337329112815
"CATHL1" 1.23643685046625 0.896639538273354 4.91715382073212 0.000542843143226351 0.0115897011078826 -0.163415535647644
"CPN1" -2.49136305029985 4.05252449055689 -4.84855116297186 0.000602980750086783 0.0122606085850979 -0.271086996198673
"TAGLN2" -2.79072745088203 2.39193528895552 -4.80313272143029 0.000646654660857036 0.0125509790993616 -0.34273593701819
