"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P13645",5.85603757364561,3.28286207275526,17.8469643725784,1.19497518099339e-22,2.67674440542518e-20,40.2313830392737
"KRT1",6.5966391085227,3.56366728071721,17.4071355745625,3.33944992866178e-22,3.7401839201012e-20,39.3022194018705
"KRT9",5.35807369134507,3.05443713763583,14.3089709482021,8.29057864755007e-19,5.89239386836701e-17,32.1055499719324
"P63261",3.94043354668343,2.73660694264868,14.1385791606424,1.31526648847478e-18,5.89239386836701e-17,31.6743619171545
"P60709",3.94043354668343,2.73660694264868,14.1385791606424,1.31526648847478e-18,5.89239386836701e-17,31.6743619171545
"P02768",5.53809090716004,3.53014814150613,13.6202143816641,5.47203331918433e-18,2.04289243916215e-16,30.3385284290232
"TLN1",4.5820515335865,3.01286371076434,10.8539413163123,1.95394051606566e-14,6.25260965141011e-13,22.57624698145
"KRT2",5.72540372984005,3.15887506003387,8.47117617318001,4.83307995596856e-11,1.3532623876712e-09,15.0514847942753
"KRT14",4.64935715529074,2.68973372823354,7.9120486053124,3.29691178049864e-10,8.20564709812994e-09,13.1926248291843
"eeF1A1P5",3.39104086008025,2.0344425061276,7.80579433904788,4.76197037799652e-10,1.06668136467122e-08,12.8364344936241
"P68104",3.39104086008025,1.96523511745077,7.4454251045103,1.66619849250097e-09,3.39298602109289e-08,11.6227062357102
"P13647",4.92852867913124,2.68452794778343,7.21710726764535,3.69765888129246e-09,6.90229657841258e-08,10.8500156838591
"KRT16",4.52882094543965,2.5364333186317,6.97857388683352,8.52255635302369e-09,1.46850201775177e-07,10.0405902931237
"Q04695",3.77834251977915,2.19354047619982,6.13005338325316,1.67033245337851e-07,2.67253192540562e-06,7.15794977887876
"KRT6A",4.57403512032762,2.67428440972459,5.62334792152821,9.77038096391722e-07,1.4590435572783e-05,5.45007919033327
"PKM",2.19553036457644,1.62531181936248,5.52104502707942,1.3924039028563e-06,1.94936546399882e-05,5.10806170560073
"APOA4",-2.93421425260445,2.23639630347994,-5.26690311373417,3.3409423611811e-06,4.22046999864813e-05,4.2640670416668
"HBA1",2.44550843079595,1.88969620876951,5.2625263764065,3.39144910605654e-06,4.22046999864813e-05,4.24961152070654
"KRT13",2.69278999813445,1.73143413968201,5.17898534569828,4.51389080759304e-06,5.09269870471735e-05,3.97426398807091
"P19823",2.39177017240076,1.95199204990044,5.17649802262324,4.5524113030469e-06,5.09269870471735e-05,3.96608300725963
"P07996",2.92225700561114,2.092374929761,5.16255663459044,4.77440503567252e-06,5.09269870471735e-05,3.92024766702069
