"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P63261",4.32206352526146,2.73660694264868,15.2843693777687,1.7256115156304e-20,1.93268489750604e-18,35.5806452701714
"P60709",4.32206352526146,2.73660694264868,15.2843693777687,1.7256115156304e-20,1.93268489750604e-18,35.5806452701714
"P13645",4.95102337989942,3.28286207275526,14.1006914765291,4.62304570444046e-19,3.45187412598221e-17,32.5445225109819
"P02768",5.66967696222927,3.53014814150613,13.6639213862016,1.62366682586586e-18,9.09253422484882e-17,31.3759464972926
"KRT1",5.35375659897146,3.56366728071721,13.1129853382025,8.19276046588599e-18,3.67035668871692e-16,29.8638535378227
"KRT9",4.65150962293635,3.05443713763583,12.192391420663,1.33486082787435e-16,4.98348042406426e-15,27.2409636138421
"TLN1",4.94091592733804,3.01286371076434,11.7233182067077,5.77042326845873e-16,1.84653544590679e-14,25.8578277605177
"KRT2",4.81470682504772,3.15887506003387,7.06310862125148,4.75727087469356e-09,1.25137982917367e-07,10.5943514387673
"P68366",2.7488148242196,2.08258765709156,7.04775554264506,5.02786538507279e-09,1.25137982917367e-07,10.5409585993207
"FLNA",3.73716401374508,2.12980106281586,6.76763647755739,1.38013599587023e-08,3.09150463074931e-07,9.5664157856848
"KRT14",3.66854293646677,2.68973372823354,5.54683613132312,1.09497208771663e-06,2.22976134225932e-05,5.35120422195865
"TUBA1B",2.55700856932136,1.94726573425111,5.42911507151224,1.65905980665897e-06,3.09691163909675e-05,4.95183185979747
"CKM",-2.54182932598759,1.43905061876519,-5.35393213466209,2.16125273914395e-06,3.72400471975574e-05,4.69783032771587
"APOA2",-2.79521709996489,2.05314683389666,-5.16725669839932,4.15261294194679e-06,6.64418070711486e-05,4.0711442084828
"APOD",-2.14138294251659,1.954804178567,-5.12679273011895,4.78062532561412e-06,6.83791091823237e-05,3.93611728189791
"UBA52",-2.80696953748161,1.42367798513513,-5.09579716912842,5.32420955143278e-06,6.83791091823237e-05,3.83289597114997
"THBS4",-3.29264280691868,2.59908547029237,-5.08891172126511,5.45299564627692e-06,6.83791091823237e-05,3.80999128520954
"P68032",3.03053929997141,2.10659978605528,5.08671373621273,5.49474984500815e-06,6.83791091823237e-05,3.80268155936268
"TUBB1",1.57502683729064,1.59234073883428,4.96689524806334,8.31703794600573e-06,9.8053499995015e-05,3.40568131855316
"KRT71",-3.17169230412556,2.0614298276594,-4.84470443125177,1.26571045356714e-05,0.00014175957079952,3.00398387781017
"P13647",3.56956207559235,2.68452794778343,4.73912136514322,1.81484145950806e-05,0.000193583089014193,2.65967181677047
"P07996",2.75927536836115,2.092374929761,4.6497188000048,2.45766807489317e-05,0.000245660377691046,2.3702930261674
"PGLYRP1",-3.95697668443259,1.67253892181117,-4.64202731961787,2.52240566379199e-05,0.000245660377691046,2.345494166285
"LBP",-3.21913256636591,1.88723308630652,-4.55780792891537,3.35006626133602e-05,0.000309058297982822,2.07499801807437
"P01024",3.08959186885956,2.35144295118694,4.54637517370382,3.4811676047833e-05,0.000309058297982822,2.03842888606104
"APOC3",-2.69150771434863,1.35842095604172,-4.53742546591333,3.58728381587205e-05,0.000309058297982822,2.00982776296525
"KRT79",-3.40334592305025,2.44652612012048,-4.49927645335016,4.07619467034812e-05,0.000338173187465918,1.88816841853329
"P01023",3.81827801919469,2.56133651287742,4.44130896638291,4.94605405052147e-05,0.000395684324041717,1.70411666987878
"UBC",-2.80696953748161,1.31940319373629,-4.28947951881769,8.17358424109117e-05,0.000622704084304012,1.22690383967196
"KRT73",-2.9192381835957,2.30143899068349,-4.283353842084,8.3397868433573e-05,0.000622704084304012,1.20780404758855
"KRT7",-3.00134338120892,3.03408196945055,-4.26828600069439,8.76272595216478e-05,0.000633177617188681,1.16087506652286
"F13A1",-1.83342158176169,1.67684231089571,-4.23045880959937,9.91852259669249e-05,0.000694296581768474,1.04339356003961
"POTee",2.12045360304324,1.55755606480302,4.19293314518392,0.000112109527682655,0.000760985884876202,0.927325091241356
"RPS27A",-2.62728542084619,1.5498931349851,-4.13133729147408,0.000136947449559563,0.0008906911742016,0.737860999919775
"TAGLN2",-2.94119991280751,1.82556932981405,-4.12636519101484,0.000139170495969,0.0008906911742016,0.72262542473624
"KRT16",3.02021062366414,2.5364333186317,4.05069037972893,0.000177648051779474,0.00110536565551673,0.491842094602617
"MST1",-2.01891434126789,1.6572762956501,-4.01979339528912,0.000196160582345553,0.0011875667687947,0.398221607310879
"P19823",1.81344220837384,1.95199204990044,4.0029935946416,0.000206996277400463,0.00122018858257115,0.347467156514899
"P68371",2.02845038123994,1.75239805099663,3.90760471473664,0.000280387323522277,0.00157585094445142,0.0613413427637335
"JUP",-3.2258140695785,2.00926215738103,-3.90646333306793,0.000281401954366324,0.00157585094445142,0.0579392599977293
"P11142",1.61272357590996,1.58731738439312,3.78445135514352,0.000412908630114035,0.00225589105233034,-0.302690293552748
"eeF1A1P5",1.70830315781265,2.0344425061276,3.73607172381305,0.000479983375538494,0.0025599113362053,-0.443967345178665
"P68104",1.70830315781265,1.96523511745077,3.70889781632992,0.000522126372152181,0.00271991412469973,-0.522878744685038
"KRT75",-2.75028854682366,3.70013749810656,-3.6627105918545,0.000602025021122418,0.00303520168257078,-0.656261901426765
"H4",-2.25094129534369,1.67480620436773,-3.65856143561112,0.000609750338016451,0.00303520168257078,-0.668197906854074
"KRT10",-5.60167330460087,2.1811305592477,-3.61291792209419,0.00070125043936526,0.00341478474821344,-0.798991349679444
"KRT72",-3.35602391631898,1.8955809951859,-3.59698712491197,0.000736175503589334,0.00350858112348959,-0.844419170386353
"MYH9",2.20955997395891,2.17147436226733,3.56425993988606,0.000813213823170362,0.00379499784146169,-0.937376764405357
"TUBB",1.99415182544035,1.6982673327166,3.5422522792768,0.000869288141113416,0.0039738886450899,-0.999606870854038
"P07900",1.96546630889579,1.58250706049443,3.51715654725972,0.000937735019982223,0.00420105288952036,-1.07029104583235
"P01008",2.28387290290398,1.82429362274305,3.47565874852038,0.00106232874106714,0.00466591447056942,-1.18651493224831
"KRT6A",3.13765005541996,2.67428440972459,3.45993838029282,0.00111352641607739,0.00479672917694875,-1.23032664503315
"H2A1",-1.82119198391334,1.27489937046138,-3.4363838386372,0.00119465680869353,0.00486551136631548,-1.29574630850848
"H2AJ",-1.82119198391334,1.27489937046138,-3.4363838386372,0.00119465680869353,0.00486551136631548,-1.29574630850848
"H2AC20",-1.82119198391334,1.27489937046138,-3.4363838386372,0.00119465680869353,0.00486551136631548,-1.29574630850848
"CFH",-2.07727075882305,4.73751401127154,-3.42420722886351,0.00123877263537031,0.00494451146088761,-1.32945847338259
"GFAP",-2.12815354924669,1.30769000984201,-3.41897487537242,0.00125820157710087,0.00494451146088761,-1.34392228579243
"KRT19",-3.20733244708524,2.90798190215825,-3.36337572102347,0.0014833594976647,0.0057288366806361,-1.49677197393487
"FBLN1",1.6302748556342,1.54404194159371,3.33060287846702,0.0016334707447963,0.00620165164126054,-1.58613762630054
"KRT17",-4.3168250187603,3.29428938584638,-3.31285677252632,0.00172065329071162,0.00642377228532337,-1.63429839948743
"Q04695",2.26523312350983,2.19354047619982,3.27606873851631,0.0019156168096388,0.00686541524065181,-1.73361666153845
"C4A",1.96479950744023,1.92122048006565,3.27439710351747,0.00192495437408898,0.00686541524065181,-1.73811285929183
"KRT20",-1.92682584969232,1.38374151654103,-3.27333704327495,0.00193089803643332,0.00686541524065181,-1.74096334389219
"KRT78",-2.06966449694521,1.39208057576647,-3.23944388171162,0.00213034105266531,0.00745619368432857,-1.83178902350097
"APOB",2.60107816348756,1.88182983813944,3.20372077501768,0.0023615245153054,0.00813817679120631,-1.92685647480539
"LTF",-2.9682942771371,2.33228884689584,-3.12722456185293,0.00293846783269591,0.00997298173521037,-2.12810177142765
"IGFBP3",-2.12390124928514,1.59150732086787,-3.09334224618339,0.00323426646978839,0.0108130699885463,-2.21620535552302
"APOe",-1.52901704014681,3.40336802544691,-2.94346889399696,0.00490972377565259,0.0161732077315615,-2.59805698059319
"HBA",-1.06470960373704,4.62559023340705,-2.93659348529822,0.00500327567538875,0.0162425181345954,-2.61525952664228
"KRT6C",2.98374036201909,2.43459542956762,2.92619664938792,0.0051479004362027,0.0164255059561001,-2.64121931630479
"APOA1",-1.37013159684067,5.83793754773609,-2.92207538100237,0.005206298762871,0.0164255059561001,-2.65149181076151
"KRT80",-1.94825018615178,1.51598194213391,-2.87397509148315,0.00593500480561977,0.0184644593952615,-2.77062867069847
"P04272",-2.14114312715188,1.39724294874033,-2.81171944485929,0.00701887095240381,0.0214453812035862,-2.92273131991278
"HBBF",-1.05232679651952,5.20161125704235,-2.8082353254288,0.007084634861899,0.0214453812035862,-2.93117295144301
"CLeC3B",-1.70969455644849,2.59057900230815,-2.79403540667764,0.00735859951160828,0.0219776838746701,-2.96549949826924
"HBA1",1.357419025766,1.88969620876951,2.68189242240538,0.00989112303499072,0.0290307267002342,-3.2321110096843
"KRT5",-1.94227104970695,4.75060084572523,-2.6784855163359,0.00997931230320549,0.0290307267002342,-3.24008440860834
"F2",1.53490725158718,4.58599019856791,2.59533068530127,0.0123683190507826,0.0355192752227602,-3.43233853643591
"P06396",1.85602580585652,2.12955510936767,2.53351964036388,0.0144704728152839,0.0410302014002987,-3.57226386479857
"IGFBP2",-2.67487141184787,2.56489382133601,-2.46342386373591,0.0172433079542379,0.0482812622718662,-3.72779826921152
"KRT28",-2.32879592197488,1.42872685909555,-2.45790842647146,0.017480665263125,0.0483415928264199,-3.7398925432025
