"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P13645",5.32052688816774,3.28286207275526,16.2149324730786,5.97426308576225e-21,1.16073336855386e-18,36.6721175986853
"KRT1",6.06112842304482,3.56366728071721,15.9940361234046,1.03636907906595e-20,1.16073336855386e-18,36.1662598539574
"KRT9",4.8225630058672,3.05443713763583,12.8788661601078,4.45334078194463e-17,3.32516111718533e-15,28.3639567599063
"P02768",5.00258022168217,3.53014814150613,12.3031954915533,2.37978349595653e-16,1.14561873315114e-14,26.7776512124391
"P63261",3.40492286120555,2.73660694264868,12.2171255621237,3.06862160665484e-16,1.14561873315114e-14,26.5364551189034
"P60709",3.40492286120555,2.73660694264868,12.2171255621237,3.06862160665484e-16,1.14561873315114e-14,26.5364551189034
"TLN1",4.04654084810863,3.01286371076434,9.5854262173812,1.15273398302507e-12,3.68874874568021e-11,18.6591928807931
"KRT2",5.18989304436218,3.15887506003387,7.67884683303928,7.39613061911772e-10,2.07091657335296e-08,12.4098170700582
"KRT14",4.11384646981287,2.68973372823354,7.00074271276689,7.88559566736267e-09,1.96263714387693e-07,10.1158866537728
"APOA2",-3.45756669116698,2.05314683389666,-6.59812534848645,3.23667670828501e-08,7.19578934948046e-07,8.747298559914
"eeF1A1P5",2.85553017460238,2.0344425061276,6.57310902215556,3.53364655554844e-08,7.19578934948046e-07,8.6622412780945
"P13647",4.39301799365337,2.68452794778343,6.43293042468025,5.77857567776322e-08,1.07866745984913e-06,8.18575738081824
"P68104",2.85553017460238,1.96523511745077,6.26964903282471,1.02439613003794e-07,1.76511333175768e-06,7.6312684086442
"KRT16",3.99331025996178,2.5364333186317,6.15339202806312,1.53930083823264e-07,2.46288134117222e-06,7.2370233369475
"APOD",-2.44965058173991,1.954804178567,-5.8468289793899,4.49228500071588e-07,6.70847893440239e-06,6.20088333194285
"Q04695",3.24283183430128,2.19354047619982,5.26123085800637,3.40654344511852e-06,4.76916082316593e-05,4.24533323155849
"APOC3",-2.53529695456075,1.35842095604172,-5.12460917832461,5.43426438667024e-06,7.16044248596549e-05,3.79565190005301
"KRT6A",4.03852443484975,2.67428440972459,4.96498767266277,9.34494517287691e-06,0.000116292651040246,3.27435343504564
"MDH1B",-3.7974079348091,1.47730045651038,-4.68188131833391,2.41759294367935e-05,0.000285021483886408,2.36240333274474
"KRT79",-3.45189829780823,2.44652612012048,-4.51603283194571,4.18721754008439e-05,0.000468968364489451,1.83685795255695
"KRT71",-2.90286079900949,2.0614298276594,-4.43251572473611,5.50824852269829e-05,0.000587546509087817,1.57494207849819
"APOA4",-2.46142665535113,2.23639630347994,-4.41825122476657,5.77138528811366e-05,0.000587631956607936,1.53040122116533
"F12AI",-2.46496390533485,4.20663262039804,-4.39263309523765,6.27512441244465e-05,0.00061114255147287,1.45055421887563
"SeRPINA3-7",-1.60502675332483,4.03724715903641,-4.33937046910023,7.46363545726113e-05,0.000696605976011039,1.28515429716619
"TAGLN2",-2.77997257330976,1.82556932981405,-4.32035726063573,7.93895342698194e-05,0.000711330227057582,1.22631479060382
"KRT6C",4.01709632047612,2.43459542956762,4.30331432608999,8.39000985454022e-05,0.000722831618237311,1.17366523148939
"THBS4",-2.7830360174434,2.59908547029237,-4.23330604101064,0.000105193784352844,0.000857680934715359,0.95833131718196
"GAPDH",1.65718567238067,2.9599419780984,4.22735106134676,0.000107230557038985,0.000857680934715359,0.940085666171641
"P07996",2.38674632013327,2.092374929761,4.21650560728537,0.000111039049583685,0.000857680934715359,0.906884966715301
"KRT6B",3.99020871675726,2.49674812989069,4.19106336846074,0.000120497100303568,0.000889752381307297,0.829148078651779
"SeRPINA3-2",-2.24619099777232,4.82604857429141,-4.18360374199289,0.000123415677344376,0.000889752381307297,0.80639548962059
"PKM",1.66001967909856,1.62531181936248,4.17440976540956,0.0001271074830439,0.000889752381307297,0.778377959418195
"KRT13",2.15727931265658,1.73143413968201,4.14904911061269,0.00013785615272209,0.000935750854840853,0.701238632687718
"HBA1",1.90999774531808,1.88969620876951,4.1101528774292,0.000156077261057018,0.00102827371990506,0.583345176691936
"HBA",-1.45539882733922,4.62559023340705,-4.08338369516867,0.00016995384511206,0.00108770460871719,0.502506711942219
"KRT3",2.39377531190263,1.74723983828543,4.0638461638107,0.000180829853129652,0.0011251635305845,0.443662528937014
"P19823",1.85625948692288,1.95199204990044,4.01749452117589,0.000209401062159304,0.00126772534928876,0.304593369372329
"P08727",2.5940248712086,1.50896968556269,4.0001860574168,0.000221153861596021,0.00130364381572391,0.25285865964513
"LBP",-2.36547432884281,1.88723308630652,-3.81430164081016,0.000395121176645166,0.00226941393765429,-0.295725707062356
"HBBF",-1.19759155663376,5.20161125704235,-3.71886441240828,0.000529838424745376,0.0029670951785741,-0.572128941764641
"APOH",-1.62996571454994,3.55010419307759,-3.70755509633482,0.00054846407491284,0.00299648665318235,-0.604634896495248
"AHSG",-1.11668272368246,6.45909865672305,-3.57447088923413,0.000820671574612605,0.00437691506460056,-0.983053935575191
"KRT7",-2.46449643624716,3.03408196945055,-3.5507675360062,0.00088111898281603,0.00459001516629746,-1.04963923002021
"APOA1",-1.45021522737253,5.83793754773609,-3.53338757204484,0.000928122107528972,0.00468367579677336,-1.09830076823938
"A1BG",-1.3123054145152,4.1781310077701,-3.52880219636673,0.000940917012744648,0.00468367579677336,-1.11111637551219
"IGFBP2",-3.09414526635526,2.56489382133601,-3.49669321411638,0.00103535171359742,0.00503805049710371,-1.20058819040935
"CKM",-1.53148633256217,1.43905061876519,-3.48969871167154,0.0010570909525173,0.00503805049710371,-1.22001550510527
"P09429",1.7896252121616,1.37638461910149,3.4334579308072,0.00124842518516844,0.0057664153592337,-1.37539538293602
"KRT8",2.34188575509592,1.57238229373487,3.42994719681921,0.00126140335983237,0.0057664153592337,-1.38504528685107
"P02788",1.44113447232953,1.45774634577412,3.41300137549476,0.00132587480104783,0.00593991910869427,-1.43154143229316
"ORM1",-1.57083152467077,3.84967463978969,-3.31458656252336,0.00176681990993964,0.00776015019267605,-1.69882108885669
"RBP4",-2.27993412170585,1.84808540045016,-3.25735615584527,0.00208386334147753,0.00897664208636472,-1.8520369034308
"O95678",2.74727162868697,1.65030993373948,3.23339005189457,0.00223202276581925,0.00941469678639784,-1.9157025151467
"CPB2",1.83615256070308,2.43628368427722,3.22754877945805,0.00226961440386377,0.00941469678639784,-1.93117486978302
"PGLYRP1",-2.15272405684585,1.67253892181117,-3.12354951830547,0.00304766739128926,0.0124123181027054,-2.20364767007913
"HMGB1",1.7896252121616,1.57185030634935,3.00014345459391,0.00429556270508807,0.0171822508203523,-2.51936090124665
"PLG",1.75769672163407,5.25419591521744,2.97825816958943,0.00456163368425173,0.017926420092498,-2.57446061969657
"SeRPINA6",-1.99969866099031,1.95604734449887,-2.9412396986304,0.0050470201189863,0.0194919397698781,-2.66703593776507
"KRT20",-1.58096271769046,1.38374151654103,-2.91830651336566,0.00537145291773077,0.0203933127724016,-2.723989060851
"Q5XKe5",1.72616865217456,1.57462061995481,2.88982347627939,0.00580144635530776,0.0215989966622641,-2.794296402744
"HBB",1.84674328585732,3.60913296436354,2.88471529235338,0.00588186962677729,0.0215989966622641,-2.80685485621055
"VTN",1.16464101014749,1.52379352816746,2.86885608259742,0.00613821053311605,0.0221767606357741,-2.84574610948843
"CSN1S1",-1.30874901039251,1.26152104314573,-2.85931583135902,0.00629737576535453,0.0223906693879272,-2.86906940497313
"SeRPINA1",-0.90956745099019,6.48107743762678,-2.83454309355354,0.0067287426508978,0.0235505992781423,-2.92937752651416
"Q7RTS7",1.59696249776326,1.40459970723818,2.82232087093389,0.00695151869205529,0.0239560028772367,-2.95899588561976
"CFH",-1.49971199276159,4.73751401127154,-2.75120088707593,0.00838918624411593,0.0281344713165505,-3.12953524544088
"P05786",-2.69996025323761,1.70745143626579,-2.75002006787354,0.00841522133128965,0.0281344713165505,-3.13234045515904
"KRT78",-1.74836572280534,1.39208057576647,-2.72947438634318,0.00888031846045837,0.0292528137520982,-3.18101079693898
"C4A",1.65067059116991,1.92122048006565,2.70833650903694,0.00938344955340181,0.0304622130429276,-3.23080836122082
"VNN1",-1.37704217677537,2.69500811622411,-2.70120901118498,0.00955893052258824,0.0305885776722824,-3.24753626835182
"SeRPINA3-8",-1.72056899843698,2.68654625935087,-2.6939726954303,0.00974017478935752,0.0307295655326209,-3.26448673666532
"H2A1",-1.42032013458688,1.27489937046138,-2.64849914270613,0.0109533236658887,0.0331560067724199,-3.37024254818771
"H2AJ",-1.42032013458688,1.27489937046138,-2.64849914270613,0.0109533236658887,0.0331560067724199,-3.37024254818771
"H2AC20",-1.42032013458688,1.27489937046138,-2.64849914270613,0.0109533236658887,0.0331560067724199,-3.37024254818771
"TTR",-1.23692947744968,3.5072245420389,-2.63837014318563,0.0112417618833213,0.0333967551378051,-3.39361874441395
"AGT",-1.12465457914283,5.26136865827236,-2.63528316911888,0.0113310419217553,0.0333967551378051,-3.40072986145729
"P68366",1.00079724864402,2.08258765709156,2.61013350046306,0.0120829646005167,0.0351504424742303,-3.45843444422227
"TUBB1",0.830087988842372,1.59234073883428,2.59702522495808,0.012492713773442,0.0358765113493718,-3.48834759406065
"KRT76",1.97832509601736,1.71902759500493,2.58435826890005,0.0129006901328629,0.0365791720222947,-3.51714687474864
"P26583",1.2975017042738,1.35952732575011,2.57682358239896,0.0131490991135272,0.0368174775178763,-3.53422759235589
