"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ALB",-7.0150331997515,8.0225757952076,-27.8410374063181,5.47236295293013e-31,1.22580930145635e-28,55.421494842273
"KRT1",8.22428119072192,3.56366728071721,19.3146500482495,4.42249316285198e-24,4.95319234239422e-22,42.5957490728556
"P13645",6.99739912370494,3.28286207275526,18.9793552544589,9.22969126763342e-24,6.89150281316628e-22,41.9627889656113
"KRT9",6.76901953641512,3.05443713763583,16.088286581138,8.18768176797247e-21,4.58510179006458e-19,35.9920289112326
"A2M",-5.79065024989329,7.04890177435079,-15.4787492547017,3.82465983058936e-20,1.71344760410403e-18,34.6064347729053
"P63261",4.76450740202415,2.73660694264868,15.2147237923809,7.5534764804921e-20,2.41711247375747e-18,33.9915509576078
"P60709",4.76450740202415,2.73660694264868,15.2147237923809,7.5534764804921e-20,2.41711247375747e-18,33.9915509576078
"TF",-5.36327178953406,6.62833730330571,-15.1391515450902,9.19128814875236e-20,2.57356068165066e-18,33.8138885235337
"SeRPINA1",-5.3880499589362,6.48107743762678,-14.9439041666575,1.53070279678083e-19,3.80974918309896e-18,33.351423221135
"AHSG",-5.07267462014965,6.45909865672305,-14.4511789809797,5.65538484307219e-19,1.26680620484817e-17,32.1618911182576
"P02768",6.27723963595425,3.53014814150613,13.7396882235719,3.92812011883603e-18,7.9990809692661e-17,30.386209734692
"C3",-5.79653673412204,6.80831847634258,-13.4621966955366,8.50613009941848e-18,1.58781095189145e-16,29.6746945079928
"AFP",-4.3954126640807,5.82309093743856,-12.6856807542317,7.77847375671942e-17,1.34029086269627e-15,27.6258352807442
"TLN1",5.45861102309159,3.01286371076434,11.5078436913408,2.58564557107197e-15,4.13703291371515e-14,24.3525675210776
"eeF1A1P5",5.29988405914219,2.0344425061276,10.8576229882289,1.93151995179063e-14,2.88440312800734e-13,22.4595015016964
"HBBF",-3.91213113104204,5.20161125704235,-10.8118330062618,2.22992412481931e-14,3.12189377474703e-13,22.3238962268904
"APOA1",-4.91273387932634,5.83793754773609,-10.652863495412,3.67954681519232e-14,4.84834403884165e-13,21.8507945386096
"P68104",5.33967830763137,1.96523511745077,10.4341211880159,7.36809712259895e-14,9.16918753034536e-13,21.1939548212923
"KRT2",7.32801510254488,3.15887506003387,9.64957663355202,9.33539093671105e-13,1.10059345780172e-11,18.783712108117
"VTN",4.36705237452702,1.52379352816746,9.57391110314058,1.19727245536861e-12,1.34094515001285e-11,18.5468915017267
"HBA1",4.96977902645032,1.88969620876951,9.51801767050456,1.43947006581311e-12,1.53543473686732e-11,18.3714774195591
"PKM",4.20952889392313,1.62531181936248,9.42105724385483,1.98321735345948e-12,2.01927585079511e-11,18.0662286489827
"ITIH4",-4.24458407101078,5.68496499135984,-9.31588833473441,2.81090937430967e-12,2.7375813036755e-11,17.733790221974
"GC",-3.40335056416561,5.15266420639357,-9.22713280072167,3.77662307606043e-12,3.52484820432307e-11,17.4521592509205
"P02788",4.35729231023509,1.45774634577412,9.18402291905398,4.36050797671074e-12,3.90701514713282e-11,17.3150164166342
"ACTB",-3.01364316881961,4.69839418045775,-9.07537376526182,6.27017457784014e-12,5.20192261272663e-11,16.9683752637106
"ACTG1",-3.01364316881961,4.69839418045775,-9.07537376526182,6.27017457784014e-12,5.20192261272663e-11,16.9683752637106
"P02771",4.30311159944775,1.46420732564624,8.9180423021503,1.06335663292897e-11,8.50685306343175e-11,16.4639212475885
"KRT14",5.82932257713897,2.68973372823354,8.82873400610053,1.43680644268532e-11,1.10980911435004e-10,16.1762903460543
"P09429",5.00708400310274,1.37638461910149,8.54946276474799,3.701830621511e-11,2.76403353072821e-10,15.2711159767384
"FeTUB",-3.49834711240269,4.65955917386766,-8.47944240856349,4.69876983632589e-11,3.39524013979677e-10,15.0428552370089
"P04406",4.55675658499697,1.63629529099176,8.37220774096219,6.77607453558757e-11,4.7432521749113e-10,14.6923065408111
"P26583",4.6927277393926,1.35952732575011,8.29442747775859,8.84264719371794e-11,6.00228173149339e-10,14.4373289039632
"AGT",-3.89292139603204,5.26136865827236,-8.11835566429506,1.61849842397069e-10,1.06630484402775e-09,13.8580117032223
"KRT13",4.72922100362987,1.73143413968201,8.09498620432026,1.75404621680775e-10,1.12258957875696e-09,13.7809077458388
"P19823",4.14413368548918,1.95199204990044,7.98242175824241,2.585512717933e-10,1.60876346893609e-09,13.4088516165449
"P13647",6.09153535067949,2.68452794778343,7.93883814349248,3.00541025370999e-10,1.81949161305686e-09,13.2645079272196
"HBA",-3.1668428822748,4.62559023340705,-7.90767830586023,3.34709541083935e-10,1.97302466323162e-09,13.1612149177009
"SeRPINF1",-3.05291259496023,4.47146455055078,-7.83205465404531,4.34800782850931e-10,2.4973173168874e-09,12.9102054592992
"Q04695",5.35004561682242,2.19354047619982,7.72511089556712,6.29890104113588e-10,3.52738458303609e-09,12.5544935936802
