"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"SeRPINA3-3" 6.31118006696047 1.75040977732359 18.7594822299066 2.84710455457332e-09 8.39895843599129e-07 11.5556119599181
"F7" -1.94459456437557 2.54411352435091 -9.03947703424917 3.33085204796945e-06 0.000419770125471514 5.00911596079359
"GDI2" -3.01398366046267 2.01690458088736 -8.79835136577267 4.26884873360861e-06 0.000419770125471514 4.76026374571325
"TGM3" 2.70739040848858 1.21697549074761 7.48710721007102 1.81839414554891e-05 0.00134106568234232 3.29313118813674
"CAPN1" -1.95457394232021 1.51228701556479 -7.23073212516166 2.46665251875065e-05 0.00145532498606288 2.9820010306746
"LUM" 1.49145963059909 3.55311337599626 6.42261079541353 6.79054913645044e-05 0.0033386866587548 1.94430488331582
"HSPA1A" -2.6614328535177 2.57110647693856 -6.18659837157896 9.27112634098687e-05 0.00341872783823891 1.62420574098925
"HSPA1B" -2.6614328535177 2.57110647693856 -6.18659837157896 9.27112634098687e-05 0.00341872783823891 1.62420574098925
"MDH1B" 4.14668419255568 2.09523810948778 5.46337953786228 0.000252290629435381 0.00826952618704861 0.593251743475032
"LTF" -1.98953859934904 3.57797574930512 -5.13416678343226 0.000407710904228901 0.0120274716747526 0.0986326424320128
"APOA2" 2.58937112168438 2.92054742881332 4.96317759370788 0.00052634934805743 0.0141157325160856 -0.164473253307087
"HSPA1L" -1.50479752773324 1.8929692356715 -4.81207620030661 0.00066192301419517 0.0162722740989646 -0.400447799737917
"SeRPINA3-8" 1.64109590788901 4.03795786355504 4.74481484638017 0.00073378549363283 0.0166512862016681 -0.506520021075047
"FGA" -2.44961403327441 3.88432828550186 -4.67781480819204 0.000813644231071823 0.0171446462975848 -0.612801628388588
"HSPA8" -2.08616105415821 2.81201248770465 -4.62243023126631 0.00088660525552436 0.0174365700253124 -0.701120404674847
"THBS4" 1.21152004148643 2.59491138889951 4.46593503194431 0.00113272692559429 0.0186967110128238 -0.952891232581956
"NOSTRIN" 2.57145623391911 0.815478819063251 4.46142164882663 0.00114081626518925 0.0186967110128238 -0.960200082438324
"TNFAIP8" 2.57145623391911 0.815478819063251 4.46142164882663 0.00114081626518925 0.0186967110128238 -0.960200082438324
"IGFBP6" 1.7711847154199 1.44157619810673 4.38827390816443 0.00128077567233399 0.019885727544133 -1.07901780217851
"IGFBP3" -2.04278743346699 1.63593540287619 -4.32985703035989 0.00140552431933167 0.0207314837101422 -1.1743928024806
"COL1A2" 2.17464605486795 2.49163112753144 4.28080387373454 0.00152015896678759 0.0207433960541067 -1.25480574014434
"FGG" -2.06566812044364 3.56420348710343 -4.18266556437707 0.00178005433577643 0.0207433960541067 -1.41655177505119
"AHCY" -1.98248219233521 2.50915357508349 -4.16691245603397 0.00182594465327228 0.0207433960541067 -1.4426203019824
"CST3" 1.90561054902206 1.64526870437168 4.15781658795887 0.00185300612470529 0.0207433960541067 -1.45768528862886
"H2A1" 1.99198970390953 1.80050811147294 4.156559870139 0.0018567780191268 0.0207433960541067 -1.45976746513898
"GSTA1" 2.58059900671628 0.896096709254095 4.12565954226739 0.00195210293300683 0.0207433960541067 -1.51102066507659
"F5" -1.49490285582661 6.24315152845296 -4.10619359992174 0.00201477906958586 0.0207433960541067 -1.54336320676177
"CFL1" 1.72525636372931 2.34431985102747 4.10564514213844 0.0020165752677332 0.0207433960541067 -1.54427507725539
"RAP1A" 3.75643735780037 1.36097873018299 4.09878601023689 0.00203918130701388 0.0207433960541067 -1.55568194229025
"F2" -0.944289256493732 6.16233936367882 -3.97629925493844 0.00249086299510101 0.0244934861184933 -1.76023446831072
"eXT1" -1.7136257774674 1.17526926241388 -3.95302647031585 0.00258792905907791 0.0246270668525156 -1.79927689583384
"PLG" -2.8214941309571 5.2510944043989 -3.86593199937593 0.00298771696621786 0.0275430157823209 -1.94585977130993
"F13A1" 2.02420205349455 3.24384767405591 3.75840199704836 0.00357193557357487 0.0319309392183208 -2.12780293970193
"APOD" -1.28123433840894 2.74479780579411 -3.63946008830627 0.00435872222537339 0.0378183251907397 -2.33016970455429
"LDHA" -1.91104714203602 2.07875724163171 -3.54080175622786 0.00514712844489961 0.0428924357398106 -2.49879405312783
"KRT7" 1.42283401715844 4.15157157333388 3.53084289515259 0.00523452529128702 0.0428924357398106 -2.51584954102546
"TUBB5" -2.01320690713656 3.15978881443397 -3.51406316368205 0.00538526796702593 0.0428924357398106 -2.54459940578357
