"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ALB",-8.72764529188689,7.83356785233269,-39.3056731551114,1.62709837108844e-38,1.0266990721568e-35,68.0564142939928
"P13645",7.57536380700984,2.97643993189695,20.3255565741766,2.04061928138956e-25,6.43815383278407e-23,45.4847168450078
"TF",-7.07678998685237,6.43319179890424,-19.923285048456,4.87082342161514e-25,7.81502602389926e-23,44.7376926411301
"AHSG",-6.79519529950052,6.27250171719331,-19.7433071444321,7.22101826912682e-25,7.81502602389926e-23,44.3982792525263
"KRT1",8.83062327816274,3.24960602826261,19.7370865033837,7.32032662587391e-25,7.81502602389926e-23,44.3864898974495
"A2M",-7.4707003459477,6.85398639709391,-19.7302490892347,7.43108655204367e-25,7.81502602389926e-23,44.3735271388477
"KRT9",7.33169424049647,2.75795260815414,18.1390631848333,2.74550922305991e-23,2.47488045678686e-21,41.224499449251
"C3",-7.55321818133195,6.60985039740058,-17.3437385984003,1.82520644790349e-22,1.43963158578388e-20,39.546756080697
"SeRPINA1",-7.23923636452794,6.29018619540095,-17.2937801166712,2.06018842400126e-22,1.44442099504978e-20,39.4389450686661
"P63261",5.19123155568472,2.45979019689723,17.1324907346791,3.0511540946309e-22,1.75025293973827e-20,39.0888866018644
"P60709",5.19123155568472,2.45979019689723,17.1324907346791,3.0511540946309e-22,1.75025293973827e-20,39.0888866018644
"AFP",-6.19906362269906,5.63990601640145,-16.6513092360056,1.00058477543766e-21,5.26140827750968e-20,38.026206181935
"P02768",6.85756660042954,3.23301415862248,15.7605973264642,9.62515999252943e-21,4.67190458098928e-19,35.9844763287086
"P35625",2.81149618596094,0.334972889619899,15.6790042578526,1.18950202832947e-20,5.36125557054212e-19,35.7924707348857
"eRC1",3.10386184685021,0.453126800778874,14.9190154844895,8.86512351466999e-20,3.72926195850451e-18,33.9627263166417
"ACTB",-4.87767788598828,4.58489953713887,-14.5845655847013,2.1917975504577e-19,8.13543679022828e-18,33.1333921835138
"ACTG1",-4.87767788598828,4.58489953713887,-14.5845655847013,2.1917975504577e-19,8.13543679022828e-18,33.1333921835138
"GC",-5.23437223793028,4.99867536177431,-14.5580639579212,2.35611593334939e-19,8.25949529968592e-18,33.0670348676549
"eeF1A1P5",5.95927585122208,1.86671378928113,14.3469016143987,4.20398418698562e-19,1.39616527473049e-17,32.5349131213578
"HBG1",3.49302047661539,0.477156268145192,13.7395793413761,2.29068660940533e-18,6.88296785968936e-17,30.9704769294552
"HBG2",3.49302047661539,0.477156268145192,13.7395793413761,2.29068660940533e-18,6.88296785968936e-17,30.9704769294552
"HBBF",-5.55517416788174,5.04709494072043,-13.4821171449863,4.76489079202858e-18,1.36665731353183e-16,30.2918222407273
"QSOX1",3.595370810197,0.805070645396471,13.0979834465886,1.44320351874272e-17,3.95939747968112e-16,29.2619312444313
"eHD3",4.69857097743947,0.929085257842862,13.0514241575137,1.65275847885189e-17,4.3453775006481e-16,29.1356821014513
"P29279",3.95494336061073,0.375357173522509,12.9388616693912,2.29644299426941e-17,5.79622211753599e-16,28.8291855468053
"VTN",4.69857097743947,1.30500717022259,12.7802168589326,3.66074259217892e-17,8.88434067563423e-16,28.3941420489297
"SeRPINF1",-4.9602865871453,4.38231994384435,-12.5403401510187,7.45462192224256e-17,1.74217275293891e-15,27.7294969952738
"P62826",3.96658800076811,0.748294253470853,12.4595457896403,9.48798263327947e-17,2.13818465771405e-15,27.503773819087
"A1BG",-4.96614285163866,4.15117798268516,-12.4143422699925,1.08627074252181e-16,2.36357530528021e-15,27.3770746660102
"TLN1",5.93942189784182,2.71389669310979,12.3931801982176,1.15741146381213e-16,2.43442211221819e-15,27.3176592647897
"APOA1",-6.44441744996715,5.65700133956763,-12.3028721942101,1.51822344536407e-16,3.09031933556365e-15,27.0633823654343
"P21291",2.94790429765893,0.410715326481604,12.2304554047164,1.88871174320957e-16,3.72430346864138e-15,26.8586320489011
"FeTUB",-5.29689494957268,4.53036562922424,-12.1895184012377,2.13748263340927e-16,4.08712588388258e-15,26.7425527461685
"HBA",-4.95383666036032,4.52126570357216,-11.8788038834508,5.5059185911929e-16,1.02183371501256e-14,25.8536204186636
"ITIH4",-6.12538098712367,5.50207756163405,-11.8008072842349,6.99571542953085e-16,1.26122755315256e-14,25.6282897704681
"P68104",5.95927585122208,1.79940580014137,11.7396798808861,8.44460378674337e-16,1.48015138595419e-14,25.4510803607058
"P11171",3.34446681363152,0.343269224856955,11.2625880524996,3.73079868546232e-15,6.36252424466682e-14,24.0494924852489
"GSN",-4.82380470710307,4.6420356331314,-11.1285282020418,5.6937158600518e-15,9.45456502024391e-14,23.6497761866662
"P07737",2.80590402371605,0.41744026887899,11.0999039491933,6.23341702262986e-15,1.00853490802037e-13,23.5640968549962
"P05452",4.90066858821777,0.63467875107243,11.0579026444124,7.12064657278805e-15,1.12328199685732e-13,23.4381653715126
"H2BC18",4.29381701449654,0.730843712997558,11.0341585948318,7.67775585217683e-15,1.1816253518838e-13,23.3668630369616
"P23528",3.595370810197,0.716620014092231,10.9734206100152,9.31241381763324e-15,1.39907931403014e-13,23.1841047738841
"P35900",4.16907635285843,0.909107359925009,10.9644166189662,9.58311270198186e-15,1.40626607324431e-13,23.1569675202265
"AGT",-5.84894898127503,5.10974841269168,-10.8553477781776,1.3570812116417e-14,1.94617782851344e-13,22.8273310452194
"C4",-5.25876454383242,4.59241938916497,-10.7475873900315,1.91662429437117e-14,2.68753317721825e-13,22.4999988714298
"RPL12",2.94790429765893,0.361472331618091,10.6705204606426,2.45558255324712e-14,3.36841867630203e-13,22.2648994237857
"KRT2",7.93775370224071,2.86031237617989,10.6027198483447,3.05563372174065e-14,4.10235080514543e-13,22.0573800367488
"SeRPINA5",-5.51128637114169,4.39741935957571,-10.2565128878861,9.41481308584528e-14,1.23765563691008e-12,20.9877961804197
"CSTA",3.34367954265966,0.381212035195322,9.67666924342349,6.40543466605951e-13,8.10689431419589e-12,19.1601208604895
"KRT14",6.56408825874099,2.44276934440136,9.67581019809444,6.42384652471940e-13,8.10689431419589e-12,19.1573804277685
"TTR",-5.03369220989834,3.61322770476154,-9.60624110096642,8.10716612809722e-13,1.00306310329987e-11,18.9351356924496
"RPL30",2.96186157290733,0.316838166991133,9.59041740394588,8.54854950300152e-13,1.03733360315268e-11,18.8844994926587
"RPL22",2.80590402371605,0.348742198865514,9.5459836210363,9.92224220722719e-13,1.18130845901139e-11,18.7421410226849
"P62937",3.62222020837115,0.554483106393435,9.49249621408501,1.18752642197022e-12,1.35333572508318e-11,18.5704468434841
"UBB",3.66707409470014,0.577739721944097,9.48912643258833,1.20105864666653e-12,1.35333572508318e-11,18.5596178808991
"P0CG48",3.66707409470014,0.577739721944097,9.48912643258833,1.20105864666653e-12,1.35333572508318e-11,18.5596178808991
"P62979",3.66707409470014,0.649622135978336,9.45870733427407,1.33048745086796e-12,1.47287294999594e-11,18.4618005481457
"SYNCRIP",5.22204975830276,0.978798074633221,9.44737386526248,1.38223581227153e-12,1.50377723714369e-11,18.4253266108746
"ORM1",-4.82833402295817,3.86425014046426,-9.41459962284745,1.54361353513766e-12,1.65088159435909e-11,18.3197614185977
"KNG1",-5.13253958113175,4.54464354662345,-9.24210607391412,2.76560236620277e-12,2.90849182178991e-11,17.7619976500744
"PKM",3.92616924844488,1.39826985526521,9.2203537924162,2.97732589792539e-12,3.07982400260807e-11,17.6914059215008
"KRT13",5.43539532527545,1.5651524960697,9.12671441738603,4.09251499091674e-12,4.16512412785236e-11,17.3868817612765
"FLG2",3.75211563036014,0.546101704521524,8.98239966863826,6.69442875433986e-12,6.7050548317277e-11,16.9155570141568
"DCD",3.24132920907805,0.409362076418307,8.97276404007506,6.91857888551803e-12,6.82128636994043e-11,16.8840026978049
"SeRPINF2",-5.16865154968612,4.3277909011828,-8.88849714559964,9.23166807958623e-12,8.96181932033679e-11,16.6076050634634
"BLMH",2.66949591201806,0.34131178630279,8.87796933294323,9.5708779163683e-12,9.15033934125515e-11,16.5730180050259
"P04406",5.0989756508731,1.46040235764334,8.77356251750771,1.36971473869676e-11,1.28998507480247e-10,16.2293531533334
"LYZ",4.08483878259972,0.618327282928133,8.70458163162394,1.73676164628741e-11,1.61161264530493e-10,16.0016521896095
"P13647",6.85494679051447,2.44539382196407,8.64108274170504,2.16187763673146e-11,1.97702143301095e-10,15.7916040978892
"P16402",3.71489673323077,0.535435086540311,8.57785374072991,2.68956112735551e-11,2.4244472448019e-10,15.582035261909
"FHL1",3.5004243628228,0.658231571395055,8.55579493645095,2.90275126314119e-11,2.57976908034097e-10,15.5088270744806
