"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P13645",6.22115347035929,2.97643993189695,18.6622874158798,8.16504224711862e-24,5.15214165793185e-21,42.7869087646831
"KRT1",6.96015508747436,3.24960602826261,17.3926440911088,1.62155735347145e-22,5.11601345020243e-20,40.077313716475
"P63261",4.44068958996096,2.45979019689723,16.3853426405509,1.94942690719842e-21,3.0752209461055e-19,37.7972932565908
"P60709",4.44068958996096,2.45979019689723,16.3853426405509,1.94942690719842e-21,3.0752209461055e-19,37.7972932565908
"KRT9",5.72868276598493,2.75795260815414,15.8460232355153,7.71751260064075e-21,9.73950090200863e-19,36.5265607316777
"P02768",5.92030417017762,3.23301415862248,15.2125376405582,4.04914289431846e-20,4.25834861052492e-18,34.9876538868587
"TLN1",4.98683943705767,2.71389669310979,11.6337300032657,1.17156144933682e-15,1.05607896361647e-13,25.2861648550121
"eeF1A1P5",3.9961255758759,1.86671378928113,10.7561974199578,1.86437829776368e-14,1.4705283823611e-12,22.634454558958
"KRT2",6.10074751900275,2.86031237617989,9.11082543647539,4.31990905670345e-12,3.02873623864431e-10,17.3835909881793
"P68104",3.9961255758759,1.79940580014137,8.80150417419657,1.24428878786104e-11,7.85146225140318e-10,16.3596605782809
"KRT14",5.18141423555462,2.44276934440136,8.53918159219247,3.07448861148796e-11,1.76363846713536e-09,15.4834200370649
"PKM",2.97097899862593,1.39826985526521,7.80069246929718,4.05007236520847e-10,2.12966305203879e-08,12.9832327634899
"P19823",3.0804642572686,1.72378064659439,7.77273394495415,4.46883201131758e-10,2.16910230703184e-08,12.887758306607
"P13647",5.40140370613791,2.44539382196407,7.61247221017754,7.86194145999314e-10,3.54348932946834e-08,12.3395518779644
"KRT16",5.06576498138323,2.30697925096178,7.50108568029323,1.16522621013738e-09,4.90171825731126e-08,11.957675046213
"APOA2",-4.01062650555032,2.08661494538222,-7.46088279287037,1.34323825053448e-09,5.29739585054534e-08,11.8196885487691
"VTN",2.19994314885797,1.30500717022259,6.69019683882665,2.07132826190451e-08,7.68828313683379e-07,9.16462079770277
