"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ALB" -8.25297623553825 7.89886994691184 -32.2192855798911 1.01628875931036e-33 3.95336327371729e-31 59.1926098877978
"P13645" 7.21103533945926 3.13597377247352 19.5603802948754 3.07957901449845e-24 5.98978118319949e-22 42.5981909042053
"AHSG" -6.86630583113746 6.33992813471078 -19.1088623411493 8.19345902514758e-24 8.74793451677327e-22 41.7722246084323
"P63261" 5.75982166005058 2.61637983050475 18.9645703754691 1.12441317696315e-23 8.74793451677327e-22 41.5038393908152
"P60709" 5.75982166005058 2.61637983050475 18.9645703754691 1.12441317696315e-23 8.74793451677327e-22 41.5038393908152
"P02768" 8.53219593239027 3.38571285078241 18.8442718047625 1.46604603767204e-23 9.50486514424042e-22 41.2784168006936
"A2M" -7.29049973531129 6.92086440788217 -18.5148898898828 3.05177743238908e-23 1.69591631599908e-21 40.6533533966951
"TF" -6.73627200646333 6.50277193165561 -18.2609218193991 5.40789113478423e-23 2.62958706428883e-21 40.1634344957841
"KRT1" 7.60768521386792 3.40895010581031 17.5154648721712 3.00429482237945e-22 1.29852298433956e-20 38.6842087960543
"SeRPINA1" -6.41553803064885 6.35969402538638 -17.4452549091941 3.54072930900439e-22 1.37734370120271e-20 38.5416521997937
"KRT9" 6.79469499739182 2.91951637462526 16.7803701906511 1.71964086769666e-21 6.08127543212727e-20 37.1631708171966
"AFP" -5.73183151649081 5.71185561573929 -16.0512408264744 1.02559154910759e-20 3.32462593835709e-19 35.5905115454247
"C3" -6.76732457288287 6.67762398894577 -15.2361989565274 8.08220455775173e-20 2.41844428689648e-18 33.7537531626604
"TLN1" 6.91173970817852 2.87545084798534 14.7878317944481 2.59782370550154e-19 7.21823872457214e-18 32.7065455753928
"GC" -5.14478883952621 5.06743320271011 -14.530887926677 5.1258299330706e-19 1.32929856264297e-17 32.0943495245376
"ACTB" -4.5771769120707 4.64889836020568 -14.1753666940588 1.32966642493309e-18 3.04258964293514e-17 31.2325216682121
"ACTG1" -4.5771769120707 4.64889836020568 -14.1753666940588 1.32966642493309e-18 3.04258964293514e-17 31.2325216682121
"HBBF" -4.90713996848593 5.11778033064974 -13.5569600877327 7.23767735690315e-18 1.56414249546407e-16 29.6918436123901
"APOA1" -6.27025329690461 5.73016030923517 -13.3614039174657 1.24892744634151e-17 2.55701461382551e-16 29.1934749622954
"GSN" -4.77209653329376 4.70798588107988 -12.2283727532658 3.23917398160489e-16 6.30019339422152e-15 26.1980644054199
"ITIH4" -5.4606070974172 5.57714384362311 -11.6388735447177 1.8804992712616e-15 3.48340103105125e-14 24.565739051664
"SeRPINA5" -5.26166263388486 4.45273357818194 -11.6068204540313 2.07187964705528e-15 3.66345992138411e-14 24.475524455914
"KNG1" -5.63049770053604 4.61740896634327 -11.4099615011809 3.76825495294994e-15 6.37326598564142e-14 23.9181569575371
"P68366" 5.47293271229663 1.95366699123422 11.2697864931136 5.7868408721811e-15 9.37950458032686e-14 23.5178218892007
"SeRPINF1" -4.22029119935609 4.44950328492584 -11.2080827226399 6.99517990261476e-15 1.08844999284686e-13 23.3406879412216
"COL6A1" 4.05979330317322 1.0531367631725 11.0373791370986 1.18508914199009e-14 1.77307567782363e-13 22.8477543129988
"TUBB1" 4.44815035627076 1.42581639624191 10.8765602583491 1.9540429190392e-14 2.81526924261574e-13 22.3794890151828
"FeTUB" -4.53109953400708 4.59737110107439 -10.683840497893 3.57349152360019e-14 4.96460072385883e-13 21.8134087204601
"AGT" -4.8639707121453 5.18031301631619 -10.5640475187592 5.21295137365985e-14 6.85733636893687e-13 21.4588461595971
"A1BG" -4.19201115225767 4.21514638674972 -10.5594981625305 5.2884342176891e-14 6.85733636893687e-13 21.4453405108883
"HBA" -4.1276207824603 4.58751823349648 -10.0793515493386 2.44688933866625e-13 3.0704514604554e-12 20.0034535827691
"eeF1A1P5" 4.59355182417597 1.9684402153512 9.99413731554115 3.22095576799397e-13 3.91547435546767e-12 19.7441845934866
"KRT2" 7.19774644393558 3.01917522849957 9.50318725645949 1.5963573904543e-12 1.88176674208098e-11 18.2312360012274
"KRT14" 5.97514475150626 2.59721950884683 9.48323065822595 1.7047027410181e-12 1.95038048898835e-11 18.1690585173152
"P19823" 4.57936820388612 1.84784059236717 9.33299235730671 2.79886481914195e-12 3.06595791900353e-11 17.6993175816901
"APOH" -4.91026326404375 3.65061751575342 -9.32886101038014 2.83739036205982e-12 3.06595791900353e-11 17.6863594614392
"C4" -4.35889282564388 4.65920312784159 -9.17717802783618 4.69331205245799e-12 4.93431996866529e-11 17.209108540699
"CFH" -5.6179346616133 4.72189086334204 -9.04364304730264 7.32494739263567e-12 7.49843298877704e-11 16.7865927760512
"TUBA1B" 5.35579225286 1.83936878995559 8.85109834250665 1.39644701879855e-11 1.39286638541701e-10 16.1735803075485
"VTN" 3.70777929114304 1.40921416454494 8.82324956625844 1.53353554488542e-11 1.49136331740107e-10 16.0845559336688
"P11142" 4.63571196260443 1.4286386572736 8.66356876690006 2.62753266700343e-11 2.49295172552277e-10 15.5723921789056
"P35900" 3.41081082010824 1.05611255282155 8.64979751818668 2.75275908098602e-11 2.5495792440561e-10 15.5280877495002
"P68104" 4.63368922806471 1.89863603467514 8.58753814114282 3.39846936708302e-11 3.00740208107437e-10 15.3275283217823
"SeRPINA3-7" -3.86670936172501 4.07790237558185 -8.58725863825658 3.40168872923579e-11 3.00740208107437e-10 15.3266269891114
"P63104" 3.29347605579789 1.02876247999891 8.56336145525045 3.68862755162268e-11 3.18861359462494e-10 15.2495327419124
"P02788" 4.13317165378016 1.35017089856469 8.54484496385855 3.92764760762108e-11 3.32142373774913e-10 15.1897546487994
"HPX" -4.25407559288571 4.50017515274439 -8.44791678672604 5.45885083348011e-11 4.5180701579229e-10 14.8762388840329
"FLNA" 5.62372040859783 1.94622889739667 8.43281402346166 5.74661562843671e-11 4.58461964273346e-10 14.8272998802244
"SeRPINF2" -4.11512736441591 4.39142943819755 -8.43136733272208 5.77497075819896e-11 4.58461964273346e-10 14.8226107801646
"HBA1" 5.09181866422099 1.82643888532008 8.40741516726555 6.26547261799207e-11 4.87453769679783e-10 14.7449441661031
"KRT16" 5.73529371858267 2.4557089568436 8.37366041158958 7.02887694444428e-11 5.36124143409573e-10 14.6353919715292
"P61224" 2.95822541644648 1.06500774225224 8.36067777360735 7.34687439709957e-11 5.49602719321487e-10 14.5932254873611
"LIMS1" 2.68318926969688 0.815161218650176 8.25716615499335 1.04604960108905e-10 7.67760933629513e-10 14.2564254346985
"ORM1" -4.37779343773306 3.90623180911046 -8.23693696315947 1.1209558440518e-10 8.07503376548425e-10 14.1904817149976
"KRT5" -5.6318725680817 4.73730482687423 -7.97818199258488 2.72328926697979e-10 1.92610822700934e-09 13.3436094629768
"PLG" -5.44046706243885 5.15979702787067 -7.92743075198129 3.24321792479451e-10 2.25287816561619e-09 13.1768077738296
"P06733" 4.22651295808952 1.16215827316113 7.80960471957903 4.869297470119e-10 3.3230819576777e-09 12.7887312817388
"QSOX1" 2.63809410018672 0.978259002730328 7.68235675461843 7.56035790542678e-10 5.07065383657072e-09 12.3684009735933
"POTee" 4.55347234743275 1.39968024410531 7.65702146458102 8.25355947381055e-10 5.4417536191734e-09 12.2845694825209
"P13647" 5.66751739097837 2.60010411438863 7.61133019282853 9.66931480378224e-10 6.26893909778548e-09 12.1332677772025
"eDIL3" 4.33198198847249 1.05310899536172 7.5963573650266 1.01844687446713e-09 6.49468580602809e-09 12.0836554536723
"FBLN1" 4.26835110190974 1.37059447289955 7.55779121288593 1.16420504423966e-09 7.30444777756818e-09 11.9557972264937
