"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"P63261" 4.76020820908256 2.73660694264868 16.8338063884203 2.97649397920169e-22 3.33367325670589e-20 39.2792982807247
"P60709" 4.76020820908256 2.73660694264868 16.8338063884203 2.97649397920169e-22 3.33367325670589e-20 39.2792982807247
"P13645" 5.29844420347236 3.28286207275526 15.0901583947449 2.92605980970588e-20 2.18479132458039e-18 35.095348185757
"KRT1" 5.54899539950263 3.56366728071721 13.5911848008575 2.00609598782295e-18 1.12341375318085e-16 31.1787600623645
"P02768" 5.59305746264827 3.53014814150613 13.4792683934651 2.7812884489794e-18 1.24601722514277e-16 30.8739103459708
"TLN1" 4.63277921599089 3.01286371076434 10.9922017960228 5.97949410184037e-15 2.23234446468707e-13 23.6393915717446
"KRT9" 4.08319700850211 3.05443713763583 10.7027481852033 1.53765214733538e-14 4.92048687147322e-13 22.7402869154069
"P68366" 3.39882494309772 2.08258765709156 8.71433285361372 1.32270201161493e-11 3.70356563252181e-10 16.2678998899037
"KRT14" 4.83984041874067 2.68973372823354 7.31783767273128 1.90138377900918e-09 4.73233296108951e-08 11.4794368052844
"TUBA1B" 3.354582875112 1.94726573425111 7.12254806824566 3.84025175951088e-09 8.60216394130436e-08 10.801021763872
"FLNA" 3.90548588392058 2.12980106281586 7.07245082993281 4.59980351091418e-09 9.36687260404342e-08 10.6268385549932
"HABP2" -2.98848008067687 1.33364828925658 -6.83776713740829 1.07179814116122e-08 2.00068986350095e-07 9.81042840789914
"P11142" 2.81454084899104 1.58731738439312 6.60466126320559 2.48346956730526e-08 4.27920910058752e-07 8.99951766311501
"POTee" 3.26407660716186 1.55755606480302 6.45430533115482 4.26858131763701e-08 6.82973010821922e-07 8.47696666272814
"P68371" 3.33447089088488 1.75239805099663 6.42352127263232 4.768854915897e-08 7.12149000773953e-07 8.37006074776638
"TUBB1" 1.99708280084355 1.59234073883428 6.29786162282923 7.49446532552684e-08 1.04922514557376e-06 7.9340555608713
"eeF1A1P5" 2.80994370620354 2.0344425061276 6.14536780444496 1.29600008565135e-07 1.70767070109354e-06 7.40597838439111
"MST1" -3.07142648559113 1.6572762956501 -6.11541542329211 1.44299492535656e-07 1.7957270182215e-06 7.30241651956811
"KRT16" 4.35704016756372 2.5364333186317 5.84363903383367 3.81477217756371e-07 4.49741561986459e-06 6.36581480417351
