"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"eDIL3",-3.09634899188939,0.874239341804051,-6.00253162803322,2.90160442775837e-07,0.000183091239391553,6.67783915924839
"P68366",-2.05372583797204,1.76508982753113,-4.7064651922044,2.34984347739427e-05,0.00408718441052255,2.5683760135458
"P68371",-2.64623602862266,1.45345865388749,-4.65047018740947,2.82610522183523e-05,0.00408718441052255,2.39635478353354
"P00558",-2.11972538351463,0.750630568987068,-4.61523920442253,3.17304889613096e-05,0.00408718441052255,2.28846667327847
"P06733",-2.23714720119388,1.00307738353785,-4.54426150420133,4.00357997453344e-05,0.00408718441052255,2.07195235159623
"P00738",3.28359960728602,0.333793307575117,4.5084187328312,4.50047894240575e-05,0.00408718441052255,1.96305796249386
"TUBB",-2.78056916421933,1.37916446976825,-4.47386130225898,5.03650597325768e-05,0.00408718441052255,1.85835937366345
"P15311",-1.98498323719068,0.776083929513556,-4.46511129135971,5.18185028275443e-05,0.00408718441052255,1.83189562695343
"ANXA2",-2.09453021240389,1.02910085649948,-4.26218618376383,9.9723553783262e-05,0.00699172915969315,1.22370123624654
"VTN",1.32106428008601,1.30500717022259,3.97630483023038,0.000246204940797102,0.0125284549906976,0.386971391498942
"PYGL",-1.37964902741818,0.289094199092255,-3.95067298452233,0.000266673816999263,0.0125284549906976,0.313226052546447
"P01009",3.15292903229532,0.384859138319171,3.93331267442219,0.000281462814730251,0.0125284549906976,0.263405718796645
"P02649",1.76733931813137,0.591694934187602,3.90548021580807,0.000306842597994452,0.0125284549906976,0.183749473134361
"IGHG1",3.29336134542356,0.493334150531808,3.89750330038207,0.000314515518819364,0.0125284549906976,0.160969361262225
"IGHG3",3.08472094492093,0.378716402118438,3.88389225512488,0.000328038016436296,0.0125284549906976,0.122151205194757
"P02790",2.82024420133266,0.311598705911339,3.87357401347095,0.000338661759904454,0.0125284549906976,0.0927676496635934
"TUBA1A",-3.0510828467982,1.19948842838369,-3.85340140440509,0.000360399725686975,0.0125284549906976,0.0354311696379135
"P07900",-2.16658882686998,1.26570801424459,-3.84876507592625,0.000365582989349722,0.0125284549906976,0.0222739986970586
"IGHG2",3.10326436016835,0.404079427542237,3.83320162853777,0.000383513887816267,0.0125284549906976,-0.0218357958912057
"P11142",-1.86606209854376,1.29353643577238,-3.82187135669724,0.000397098414919101,0.0125284549906976,-0.0538925679357094
"POTeF",2.89200096602612,0.49537561069465,3.79471069673049,0.000431579281892735,0.0129263506140283,-0.13054639303201
"IGKC",2.77273119404549,0.647521334386395,3.77783610336316,0.000454436780951421,0.0129263506140283,-0.178032725747441
"SLC2A1",-0.741013695531657,0.273565477653511,-3.75879907604086,0.000481623784836641,0.0129263506140283,-0.231476114340369
"PKM",-1.41896979323387,1.39826985526521,-3.75008422609396,0.000494586011080434,0.0129263506140283,-0.25589594191304
